survey_year,year,boys,girls,total
1998-99,1972-73,1972,3770621,1972
1998-99,1973-74,1973,4070125,1973
1998-99,1975-76,1975,4109021,1975
1998-99,1977-78,1977,4367442,1977
1998-99,1978-79,1978,3709512,1978
1998-99,1979-80,1979,3517829,1979
1998-99,1980-81,1980,3503124,1980
1998-99,1981-82,1981,3409081,1981
1998-99,1982-83,1982,3355558,1982
1998-99,1983-84,1983,3303599,1983
1998-99,1984-85,1984,3354284,1984
1998-99,1985-86,1985,3344275,1985
1998-99,1987-88,1987,3425777,1987
1998-99,1988-89,1988,3416844,1988
1998-99,1989-90,1989,3398192,1989
1998-99,1990-91,1990,3406355,1990
1998-99,1991-92,1991,3429853,1991
1998-99,1993-94,1993,3472967,1993
1998-99,1994-95,1994,3536359,1994
1998-99,1995-96,1995,3634052,1995
1998-99,1996-97,1996,3706225,1996
1998-99,1997-98,1997,3763120,1997
1998-99,1998-99,1998,3832352,1998
1998-99,1999-93,1999,3416389,1992
1998-99,4986-87,4986,3364082,1986
