survey_year,gender,state,sport,schools,participants
2003-04,Girls,Alabama,Basketball,399.0,5358.0
2003-04,Girls,Alabama,Cross Country,128.0,787.0
2003-04,Girls,Alaska,Basketball,128.0,1840.0
2003-04,Girls,Alaska,Bowling,,59.0
2003-04,Girls,Alaska,Competitive Spirit Squads,29.0,471.0
2003-04,Girls,Alaska,Cross Country,100.0,778.0
2003-04,Girls,Arizona,Basketball,214.0,6160.0
2003-04,Girls,Arizona,Competitive Spirit Squads,115.0,3539.0
2003-04,Girls,Arizona,Cross Country,161.0,1827.0
2003-04,Girls,Arkansas,Basketball,231.0,4043.0
2003-04,Girls,Arkansas,Competitive Spirit Squads,60.0,1318.0
2003-04,Girls,Arkansas,Cross Country,56.0,468.0
2003-04,Girls,California,Basketball,1160.0,33912.0
2003-04,Girls,California,Bowling,,54.0
2003-04,Girls,California,Cross Country,971.0,16618.0
2003-04,Girls,Colorado,Basketball,311.0,7579.0
2003-04,Girls,Colorado,Competitive Spirit Squads,229.0,
2003-04,Girls,Colorado,Cross Country,200.0,294.0
2003-04,Girls,Connecticut,Basketball,174.0,4263.0
2003-04,Girls,Connecticut,Competitive Spirit Squads,189.0,2068.0
2003-04,Girls,Connecticut,Cross Country,158.0,2294.0
2003-04,Girls,Delaware,Basketball,42.0,968.0
2003-04,Girls,Delaware,Competitive Spirit Squads,11.0,274.0
2003-04,Girls,Delaware,Cross Country,38.0,542.0
2003-04,Girls,District of Columbia,Basketball,13.0,249.0
2003-04,Girls,District of Columbia,Competitive Spirit Squads,12.0,269.0
2003-04,Girls,District of Columbia,Cross Country,12.0,430.0
2003-04,Girls,Florida,Basketball,559.0,10964.0
2003-04,Girls,Florida,Bowling,116.0,1442.0
2003-04,Girls,Florida,Cross Country,483.0,5576.0
2003-04,Girls,Georgia,Basketball,374.0,9171.0
2003-04,Girls,Georgia,Competitive Spirit Squads,2382.0,4929.0
2003-04,Girls,Georgia,Cross Country,329.0,3869.0
2003-04,Girls,Hawaii,Cross Country,,1089.0
2003-04,Girls,Hawaii,Basketball,65.0,1651.0
2003-04,Girls,Hawaii,Bowling,53.0,472.0
2003-04,Girls,Hawaii,Competitive Spirit Squads,48.0,744.0
2003-04,Girls,Idaho,Basketball,164.0,3611.0
2003-04,Girls,Idaho,Competitive Spirit Squads,142.0,1746.0
2003-04,Girls,Idaho,Cross Country,95.0,822.0
2003-04,Girls,Illinois,Basketball,671.0,18986.0
2003-04,Girls,Illinois,Bowling,194.0,3269.0
2003-04,Girls,Illinois,Cross Country,479.0,8125.0
2003-04,Girls,Indiana,Basketball,392.0,10207.0
2003-04,Girls,Indiana,Cross Country,382.0,4295.0
2003-04,Girls,Iowa,Basketball,397.0,8846.0
2003-04,Girls,Iowa,Bowling,70.0,661.0
2003-04,Girls,Iowa,Competitive Spirit Squads,57.0,
2003-04,Girls,Iowa,Cross Country,308.0,3596.0
2003-04,Girls,Kansas,Basketball,364.0,8145.0
2003-04,Girls,Kansas,Cross Country,214.0,2419.0
2003-04,Girls,Kentucky,Basketball,280.0,5950.0
2003-04,Girls,Kentucky,Bowling,,14.0
2003-04,Girls,Kentucky,Competitive Spirit Squads,279.0,5444.0
2003-04,Girls,Kentucky,Cross Country,243.0,2427.0
2003-04,Girls,Louisiana,Basketball,377.0,9401.0
2003-04,Girls,Louisiana,Cross Country,307.0,1225.0
2003-04,Girls,Maine,Basketball,135.0,3505.0
2003-04,Girls,Maine,Competitive Spirit Squads,85.0,1673.0
2003-04,Girls,Maine,Cross Country,103.0,968.0
2003-04,Girls,Maryland,Basketball,181.0,4528.0
2003-04,Girls,Maryland,Cross Country,167.0,2020.0
2003-04,Girls,Massachusetts,Cross Country,,4094.0
2003-04,Girls,Massachusetts,Basketball,337.0,10418.0
2003-04,Girls,Michigan,Basketball,718.0,20661.0
2003-04,Girls,Michigan,Bowling,151.0,1477.0
2003-04,Girls,Michigan,Competitive Spirit Squads,171.0,4387.0
2003-04,Girls,Michigan,Cross Country,575.0,
2003-04,Girls,Minnesota,Basketball,447.0,13017.0
2003-04,Girls,Minnesota,Cross Country,320.0,4501.0
2003-04,Girls,Mississippi,Basketball,257.0,6204.0
2003-04,Girls,Mississippi,Competitive Spirit Squads,257.0,3812.0
2003-04,Girls,Mississippi,Cross Country,122.0,1358.0
2003-04,Girls,Missouri,Basketball,530.0,12460.0
2003-04,Girls,Missouri,Competitive Spirit Squads,150.0,2200.0
2003-04,Girls,Missouri,Cross Country,299.0,
2003-04,Girls,Montana,Basketball,170.0,3469.0
2003-04,Girls,Montana,Competitive Spirit Squads,,72.0
2003-04,Girls,Montana,Cross Country,116.0,841.0
2003-04,Girls,Nebraska,Basketball,320.0,7045.0
2003-04,Girls,Nebraska,Cross Country,189.0,1587.0
2003-04,Girls,Nevada,Basketball,89.0,2475.0
2003-04,Girls,Nevada,Bowling,24.0,265.0
2003-04,Girls,Nevada,Cross Country,59.0,560.0
2003-04,Girls,New Hampshire,Basketball,87.0,2262.0
2003-04,Girls,New Hampshire,Competitive Spirit Squads,72.0,
2003-04,Girls,New Hampshire,Cross Country,68.0,853.0
2003-04,Girls,New Jersey,Basketball,,10080.0
2003-04,Girls,New Jersey,Bowling,203.0,1660.0
2003-04,Girls,New Jersey,Cross Country,360.0,4225.0
2003-04,Girls,New Mexico,Basketball,151.0,4560.0
2003-04,Girls,New Mexico,Cross Country,107.0,992.0
2003-04,Girls,New York,Basketball,688.0,17245.0
2003-04,Girls,New York,Bowling,269.0,2851.0
2003-04,Girls,New York,Cross Country,539.0,122.0
2003-04,Girls,North Carolina,Basketball,343.0,8493.0
2003-04,Girls,North Carolina,Competitive Spirit Squads,340.0,14440.0
2003-04,Girls,North Carolina,Cross Country,308.0,3756.0
2003-04,Girls,North Dakota,Basketball,179.0,2855.0
2003-04,Girls,North Dakota,Cross Country,55.0,365.0
2003-04,Girls,Ohio,Basketball,788.0,18171.0
2003-04,Girls,Ohio,Bowling,102.0,1098.0
2003-04,Girls,Ohio,Cross Country,547.0,7026.0
2003-04,Girls,Oklahoma,Basketball,471.0,7565.0
2003-04,Girls,Oklahoma,Competitive Spirit Squads,181.0,1903.0
2003-04,Girls,Oklahoma,Cross Country,170.0,1250.0
2003-04,Girls,Oregon,Basketball,281.0,6768.0
2003-04,Girls,Oregon,Competitive Spirit Squads,1385.0,2009.0
2003-04,Girls,Oregon,Cross Country,156.0,2246.0
2003-04,Girls,Pennsylvania,Basketball,685.0,20550.0
2003-04,Girls,Pennsylvania,Bowling,87.0,870.0
2003-04,Girls,Pennsylvania,Cross Country,515.0,5200.0
2003-04,Girls,Rhode Island,Basketball,47.0,1123.0
2003-04,Girls,Rhode Island,Competitive Spirit Squads,24.0,619.0
2003-04,Girls,Rhode Island,Cross Country,42.0,663.0
2003-04,Girls,South Carolina,Basketball,195.0,4985.0
2003-04,Girls,South Carolina,Bowling,,59.0
2003-04,Girls,South Carolina,Competitive Spirit Squads,84.0,2456.0
2003-04,Girls,South Carolina,Cross Country,130.0,1649.0
2003-04,Girls,South Dakota,Basketball,163.0,3011.0
2003-04,Girls,South Dakota,Cross Country,4111.0,577.0
2003-04,Girls,Tennessee,Basketball,357.0,6461.0
2003-04,Girls,Tennessee,Bowling,133.0,1142.0
2003-04,Girls,Tennessee,Cross Country,243.0,
2003-04,Girls,Texas,Basketball,1214.0,69824.0
2003-04,Girls,Texas,Cross Country,1164.0,27777.0
2003-04,Girls,Utah,Basketball,118.0,2955.0
2003-04,Girls,Utah,Cross Country,110.0,
2003-04,Girls,Vermont,Basketball,67.0,1774.0
2003-04,Girls,Vermont,Competitive Spirit Squads,30.0,406.0
2003-04,Girls,Vermont,Cross Country,46.0,460.0
2003-04,Girls,Virginia,Basketball,286.0,7804.0
2003-04,Girls,Virginia,Competitive Spirit Squads,290.0,9999.0
2003-04,Girls,Virginia,Cross Country,265.0,3507.0
2003-04,Girls,Washington,Basketball,371.0,9696.0
2003-04,Girls,Washington,Bowling,41.0,796.0
2003-04,Girls,Washington,Cross Country,275.0,3350.0
2003-04,Girls,West Virginia,Basketball,117.0,2145.0
2003-04,Girls,West Virginia,Competitive Spirit Squads,105.0,1859.0
2003-04,Girls,West Virginia,Cross Country,70.0,581.0
2003-04,Girls,Wisconsin,Basketball,475.0,13013.0
2003-04,Girls,Wisconsin,Cross Country,383.0,5247.0
2003-04,Girls,Wyoming,Basketball,68.0,1620.0
2003-04,Girls,Wyoming,Cross Country,40.0,309.0
2003-04,Girls,Wyoming,Bowling,,56.0
2003-04,Girls,Alabama,Golf,152.0,454.0
2003-04,Girls,Alabama,Gymnastics,,82.0
2003-04,Girls,Alaska,Football 11-player,,13.0
2003-04,Girls,Alaska,Golf,113.0,752.0
2003-04,Girls,Arizona,Football 11-player,16.0,35.0
2003-04,Girls,Arkansas,Golf,76.0,366.0
2003-04,Girls,Arkansas,Gymnastics,,139.0
2003-04,Girls,California,Field Hockey,63.0,2170.0
2003-04,Girls,California,Football 11-player,94.0,236.0
2003-04,Girls,California,Golf,669.0,5547.0
2003-04,Girls,California,Gymnastics,46.0,859.0
2003-04,Girls,Colorado,Field Hockey,15.0,479.0
2003-04,Girls,Colorado,Football 11-player,,16.0
2003-04,Girls,Colorado,Golf,132.0,1280.0
2003-04,Girls,Colorado,Gymnastics,50.0,578.0
2003-04,Girls,Connecticut,Field Hockey,76.0,3322.0
2003-04,Girls,Connecticut,Golf,32.0,443.0
2003-04,Girls,Connecticut,Gymnastics,60.0,430.0
2003-04,Girls,Delaware,Field Hockey,,1391.0
2003-04,Girls,Delaware,Golf,16.0,51.0
2003-04,Girls,District of Columbia,Golf,,25.0
2003-04,Girls,Florida,Golf,341.0,2200.0
2003-04,Girls,Florida,Gymnastics,34.0,384.0
2003-04,Girls,Georgia,Football 11-player,24.0,88.0
2003-04,Girls,Georgia,Golf,272.0,
2003-04,Girls,Hawaii,Football 11-player,11.0,
2003-04,Girls,Hawaii,Golf,47.0,162.0
2003-04,Girls,Idaho,Golf,86.0,960.0
2003-04,Girls,Illinois,Golf,363.0,3210.0
2003-04,Girls,Illinois,Gymnastics,95.0,1800.0
2003-04,Girls,Indiana,Golf,268.0,2550.0
2003-04,Girls,Indiana,Gymnastics,87.0,1097.0
2003-04,Girls,Iowa,Football 11-player,,60.0
2003-04,Girls,Iowa,Golf,329.0,3857.0
2003-04,Girls,Kansas,Football 11-player,,10.0
2003-04,Girls,Kansas,Golf,97.0,1038.0
2003-04,Girls,Kansas,Gymnastics,16.0,173.0
2003-04,Girls,Kentucky,Field Hockey,17.0,408.0
2003-04,Girls,Kentucky,Football 11-player,11.0,21.0
2003-04,Girls,Kentucky,Golf,226.0,1379.0
2003-04,Girls,Louisiana,Golf,101.0,320.0
2003-04,Girls,Louisiana,Gymnastics,19.0,217.0
2003-04,Girls,Maine,Field Hockey,79.0,2984.0
2003-04,Girls,Maine,Football 11-player,,11.0
2003-04,Girls,Maine,Golf,37.0,63.0
2003-04,Girls,Maine,Gymnastics,14.0,78.0
2003-04,Girls,Maryland,Field Hockey,120.0,3903.0
2003-04,Girls,Maryland,Golf,98.0,198.0
2003-04,Girls,Maryland,Gymnastics,13.0,178.0
2003-04,Girls,Massachusetts,Field Hockey,198.0,8635.0
2003-04,Girls,Massachusetts,Football 11-player,,28.0
2003-04,Girls,Massachusetts,Golf,27.0,439.0
2003-04,Girls,Massachusetts,Gymnastics,90.0,1219.0
2003-04,Girls,Michigan,Field Hockey,16.0,677.0
2003-04,Girls,Michigan,Golf,306.0,3910.0
2003-04,Girls,Michigan,Gymnastics,84.0,989.0
2003-04,Girls,Minnesota,Golf,383.0,5054.0
2003-04,Girls,Minnesota,Gymnastics,490.0,3119.0
2003-04,Girls,Mississippi,Golf,15.0,121.0
2003-04,Girls,Missouri,Field Hockey,24.0,1178.0
2003-04,Girls,Missouri,Football 11-player,,10.0
2003-04,Girls,Missouri,Golf,142.0,1531.0
2003-04,Girls,Missouri,Gymnastics,,20.0
2003-04,Girls,Montana,Golf,112.0,930.0
2003-04,Girls,Nebraska,Football 11-player,,10.0
2003-04,Girls,Nebraska,Golf,130.0,1383.0
2003-04,Girls,Nevada,Golf,57.0,515.0
2003-04,Girls,New Hampshire,Field Hockey,55.0,2159.0
2003-04,Girls,New Hampshire,Golf,27.0,36.0
2003-04,Girls,New Hampshire,Gymnastics,24.0,154.0
2003-04,Girls,New Jersey,Field Hockey,223.0,9605.0
2003-04,Girls,New Jersey,Golf,189.0,673.0
2003-04,Girls,New Jersey,Gymnastics,64.0,848.0
2003-04,Girls,New Mexico,Football 11-player,,77.0
2003-04,Girls,New Mexico,Golf,87.0,272.0
2003-04,Girls,New York,Field Hockey,232.0,8508.0
2003-04,Girls,New York,Golf,102.0,948.0
2003-04,Girls,New York,Gymnastics,116.0,1598.0
2003-04,Girls,North Carolina,Field Hockey,,264.0
2003-04,Girls,North Carolina,Golf,128.0,730.0
2003-04,Girls,North Carolina,Gymnastics,13.0,123.0
2003-04,Girls,North Dakota,Football 11-player,,11.0
2003-04,Girls,North Dakota,Golf,107.0,640.0
2003-04,Girls,North Dakota,Gymnastics,13.0,79.0
2003-04,Girls,Ohio,Field Hockey,33.0,1199.0
2003-04,Girls,Ohio,Football 11-player,,33.0
2003-04,Girls,Ohio,Golf,224.0,2090.0
2003-04,Girls,Ohio,Gymnastics,94.0,1120.0
2003-04,Girls,Oklahoma,Golf,211.0,980.0
2003-04,Girls,Oregon,Golf,157.0,1170.0
2003-04,Girls,Pennsylvania,Field Hockey,275.0,9625.0
2003-04,Girls,Pennsylvania,Golf,187.0,1870.0
2003-04,Girls,Pennsylvania,Gymnastics,25.0,250.0
2003-04,Girls,Rhode Island,Field Hockey,21.0,631.0
2003-04,Girls,Rhode Island,Golf,,53.0
2003-04,Girls,Rhode Island,Gymnastics,25.0,177.0
2003-04,Girls,South Carolina,Golf,52.0,373.0
2003-04,Girls,South Dakota,Golf,75.0,738.0
2003-04,Girls,South Dakota,Gymnastics,27.0,275.0
2003-04,Girls,Tennessee,Golf,242.0,815.0
2003-04,Girls,Texas,Football 11-player,,268.0
2003-04,Girls,Texas,Golf,4120.0,7366.0
2003-04,Girls,Utah,Golf,34.0,69.0
2003-04,Girls,Vermont,Field Hockey,26.0,1013.0
2003-04,Girls,Vermont,Football 11-player,,49.0
2003-04,Girls,Vermont,Golf,33.0,110.0
2003-04,Girls,Vermont,Gymnastics,13.0,114.0
2003-04,Girls,Virginia,Field Hockey,111.0,3833.0
2003-04,Girls,Virginia,Football 11-player,24.0,385.0
2003-04,Girls,Virginia,Golf,104.0,196.0
2003-04,Girls,Virginia,Gymnastics,70.0,809.0
2003-04,Girls,Washington,Field Hockey,25.0,80.0
2003-04,Girls,Washington,Golf,262.0,2190.0
