survey_year,gender,state,sport,schools,participants
1995-96,Girls,Alabama,Basketball,368.0,5573.0
1995-96,Girls,Alabama,Cross Country,50.0,473.0
1995-96,Girls,Alaska,Basketball,93.0,2083.0
1995-96,Girls,Alaska,Cross Country,70.0,685.0
1995-96,Girls,Arizona,Basketball,180.0,5330.0
1995-96,Girls,Arkansas,Basketball,331.0,7782.0
1995-96,Girls,Arkansas,Cross Country,82.0,537.0
1995-96,Girls,California,Basketball,989.0,27856.0
1995-96,Girls,California,Cross Country,785.0,12193.0
1995-96,Girls,California,Field Hockey,61.0,1956.0
1995-96,Girls,Colorado,Basketball,271.0,7073.0
1995-96,Girls,Colorado,Competitive Spirit Squads,115.0,
1995-96,Girls,Colorado,Cross Country,154.0,1837.0
1995-96,Girls,Connecticut,Basketball,169.0,3994.0
1995-96,Girls,Connecticut,Cross Country,148.0,1759.0
1995-96,Girls,Connecticut,Field Hockey,71.0,2826.0
1995-96,Girls,Delaware,Basketball,44.0,1019.0
1995-96,Girls,Delaware,Cross Country,32.0,398.0
1995-96,Girls,Delaware,Field Hockey,39.0,
1995-96,Girls,District of Columbia,Basketball,14.0,162.0
1995-96,Girls,District of Columbia,Competitive Spirit Squads,10.0,171.0
1995-96,Girls,District of Columbia,Cross Country,10.0,80.0
1995-96,Girls,Florida,Basketball,442.0,9076.0
1995-96,Girls,Florida,Cross Country,344.0,4020.0
1995-96,Girls,Florida,Competitive Spirit Squads,210.0,3546.0
1995-96,Girls,Hawaii,Basketball,55.0,1382.0
1995-96,Girls,Hawaii,Competitive Spirit Squads,63.0,751.0
1995-96,Girls,Hawaii,Cross Country,54.0,346.0
1995-96,Girls,Indiana,Basketball,379.0,11812.0
1995-96,Girls,Indiana,Cross Country,344.0,3927.0
1995-96,Girls,Indiana,Competitive Spirit Squads,44.0,
1995-96,Girls,Kansas,Basketball,354.0,8574.0
1995-96,Girls,Kentucky,Basketball,273.0,5405.0
1995-96,Girls,Kentucky,Competitive Spirit Squads,255.0,5001.0
1995-96,Girls,Kentucky,Cross Country,209.0,1848.0
1995-96,Girls,Kentucky,Field Hockey,14.0,567.0
1995-96,Girls,Louisiana,Basketball,376.0,9400.0
1995-96,Girls,Louisiana,Cross Country,204.0,1224.0
1995-96,Girls,Louisiana,Competitive Spirit Squads,,4101.0
1995-96,Girls,Louisiana,Field Hockey,76.0,
1995-96,Girls,Maryland,Basketball,170.0,4275.0
1995-96,Girls,Maryland,Cross Country,140.0,1589.0
1995-96,Girls,Maryland,Field Hockey,107.0,
1995-96,Girls,Massachusetts,Basketball,304.0,9676.0
1995-96,Girls,Massachusetts,Cross Country,247.0,3440.0
1995-96,Girls,Massachusetts,Field Hockey,184.0,8063.0
1995-96,Girls,Michigan,Basketball,698.0,20239.0
1995-96,Girls,Michigan,Competitive Spirit Squads,161.0,2379.0
1995-96,Girls,Michigan,Cross Country,545.0,5926.0
1995-96,Girls,Minnesota,Basketball,427.0,
1995-96,Girls,Mississippi,Basketball,261.0,4860.0
