survey_year,gender,state,sport,schools,participants
1993-94,Girls,Alabama,Basketball,,1786.0
1993-94,Girls,Alaska,Cross Country,,1326.0
1993-94,Girls,Arizona,Basketball,,5294.0
1993-94,Girls,Arkansas,Cross Country,,41334.0
1993-94,Girls,Arkansas,Basketball,,26002.0
1993-94,Girls,California,Competitive Spirit Squads,,1844.0
1993-94,Girls,California,Cross Country,,1639.0
1993-94,Girls,Colorado,Basketball,,6867.0
1993-94,Girls,Colorado,Cross Country,,1721.0
1993-94,Girls,Connecticut,Basketball,,1048.0
1993-94,Girls,District of Columbia,Basketball,,8319.0
1993-94,Girls,District of Columbia,Cross Country,,3596.0
1993-94,Girls,Florida,Cross Country,,2340.0
1993-94,Girls,Georgia,Basketball,,8552.0
1993-94,Girls,Hawaii,Basketball,,1297.0
1993-94,Girls,Idaho,Cross Country,,4514.0
1993-94,Girls,Illinois,Basketball,,14939.0
1993-94,Girls,Illinois,Cross Country,,3693.0
1993-94,Girls,Iowa,Basketball,,10648.0
1993-94,Girls,Iowa,Cross Country,,2174.0
1993-94,Girls,Kansas,Cross Country,,1812.0
1993-94,Girls,Kansas,Basketball,,5426.0
1993-94,Girls,Kansas,Competitive Spirit Squads,,4961.0
1993-94,Girls,Kentucky,Cross Country,,1224.0
1993-94,Girls,Louisiana,Basketball,,9400.0
1993-94,Girls,Maine,Cross Country,,1503.0
1993-94,Girls,Maryland,Basketball,,4089.0
1993-94,Girls,Maryland,Cross Country,,3016.0
1993-94,Girls,Massachusetts,Cross Country,,5182.0
1993-94,Girls,Michigan,Basketball,,19143.0
1993-94,Girls,Michigan,Competitive Spirit Squads,,6304.0
1993-94,Girls,Michigan,Cross Country,,1728.0
1993-94,Girls,Minnesota,Basketball,,4600.0
1993-94,Girls,Mississippi,Cross Country,,2830.0
1993-94,Girls,Missouri,Basketball,,11832.0
1993-94,Girls,Missouri,Competitive Spirit Squads,,2550.0
1993-94,Girls,Montana,Cross Country,,1048.0
1993-94,Girls,Nebraska,Basketball,,7397.0
1993-94,Girls,New Hampshire,Basketball,,2390.0
1993-94,Girls,New Hampshire,Cross Country,,3626.0
1993-94,Girls,New Mexico,Basketball,,3020.0
1993-94,Girls,New Mexico,Cross Country,,4210.0
1993-94,Girls,New York,Basketball,,15605.0
1993-94,Girls,North Carolina,Basketball,,7107.0
1993-94,Girls,North Carolina,Cross Country,,2121.0
1993-94,Girls,North Dakota,Basketball,,3450.0
1993-94,Girls,North Dakota,Cross Country,,5546.0
1993-94,Girls,Oklahoma,Basketball,,9560.0
1993-94,Girls,Oklahoma,Competitive Spirit Squads,,1950.0
1993-94,Girls,Oklahoma,Cross Country,,2640.0
1993-94,Girls,Pennsylvania,Basketball,,18540.0
1993-94,Girls,Pennsylvania,Cross Country,,4220.0
1993-94,Girls,Rhode Island,Basketball,,4998.0
1993-94,Girls,South Dakota,Basketball,,3924.0
1993-94,Girls,South Dakota,Cross Country,,2060.0
1993-94,Girls,Tennessee,Basketball,,9216.0
1993-94,Girls,Texas,Basketball,1144.0,51307.0
1993-94,Girls,Texas,Cross Country,,26053.0
1993-94,Girls,Utah,Basketball,,2603.0
1993-94,Girls,Utah,Competitive Spirit Squads,,1678.0
1993-94,Girls,Virginia,Basketball,,6648.0
1993-94,Girls,Virginia,Cross Country,,2190.0
1993-94,Girls,Washington,Basketball,,10586.0
1993-94,Girls,Washington,Competitive Spirit Squads,,2721.0
1993-94,Girls,Wisconsin,Basketball,,12071.0
1993-94,Girls,Wisconsin,Cross Country,,3300.0
1993-94,Girls,Wyoming,Basketball,,1681.0
1993-94,Girls,Arkansas,Golf,,487.0
1993-94,Girls,Arkansas,Gymnastics,,1464.0
1993-94,Girls,California,Field Hockey,,2090.0
1993-94,Girls,Connecticut,Field Hockey,,2712.0
1993-94,Girls,Delaware,Field Hockey,,1399.0
1993-94,Girls,District of Columbia,Golf,,1142.0
1993-94,Girls,Idaho,Golf,,1065.0
1993-94,Girls,Idaho,Gymnastics,,1958.0
1993-94,Girls,Illinois,Golf,,1705.0
1993-94,Girls,Illinois,Gymnastics,,1140.0
1993-94,Girls,Iowa,Golf,77.0,3492.0
1993-94,Girls,Maine,Field Hockey,,3017.0
1993-94,Girls,Maryland,Field Hockey,,3333.0
1993-94,Girls,Massachusetts,Field Hockey,,7621.0
