survey_year,year,boys,girls,total
2001-02,1972-73,1972.0,3770621,1972.0
2001-02,1973-74,1973.0,4070125,1973.0
2001-02,1975-76,1975.0,4109021,1975.0
2001-02,1977-78,1977.0,4367442,1977.0
2001-02,1978-79,1978.0,3709512,1978.0
2001-02,1979-80,1979.0,3517829,1979.0
2001-02,1980-81,1980.0,3503124,1980.0
2001-02,1981-82,1981.0,3409081,1981.0
2001-02,1982-83,1982.0,3355558,1982.0
2001-02,1983-84,1983.0,3303599,1983.0
2001-02,1985-86,1985.0,3344275,1985.0
2001-02,1986-87,1986.0,3364082,1986.0
2001-02,1987-88,1987.0,3425777,1987.0
2001-02,1988-89,1988.0,3416844,1988.0
2001-02,1989-90,1989.0,3398,1989.0
2001-02,1990-91,1990.0,3406355,1990.0
2001-02,1991-92,1991.0,3429853,1991.0
2001-02,1992-93,1992.0,3416389,1992.0
2001-02,1993-94,1993.0,3472967,1993.0
2001-02,1994-95,1994.0,3936359,1994.0
2001-02,1995-96,1995.0,3634052,1995.0
2001-02,1996-97,1996.0,3706225,1996.0
2001-02,1997-98,1997.0,3763120,1997.0
2001-02,1998-99,1998.0,3832352,1998.0
2001-02,1999-00,1999.0,3861749,1999.0
2001-02,2000-01,2000.0,3921069,2000.0
2001-02,2001-02,,2001,
2001-02,4984-85,4984.0,3354284,4984.0
