survey_year,gender,state,sport,schools,participants
2012-13,Boys,Alabama,Baseball,393.0,8913
2012-13,Boys,Alabama,Basketball,409.0,11720
2012-13,Boys,Alaska,Baseball,33.0,704
2012-13,Boys,Alaska,Basketball,143.0,2140
2012-13,Boys,Alaska,Bowling,8.0,66
2012-13,Boys,Alaska,Competitive Spirit Squads,19.0,32
2012-13,Boys,Arizona,Baseball,235.0,8257
2012-13,Boys,Arizona,Basketball,247.0,8247
2012-13,Boys,Arizona,Competitive Spirit Squads,70.0,366
2012-13,Boys,Arkansas,Baseball,197.0,4491
2012-13,Boys,Arkansas,Basketball,216.0,4157
2012-13,Boys,Arkansas,Bowling,64.0,703
2012-13,Boys,Arkansas,Competitive Spirit Squads,33.0,114
2012-13,Boys,California,Baseball,1248.0,43253
2012-13,Boys,California,Basketball,1375.0,43766
2012-13,Boys,California,Bowling,14.0,235
2012-13,Boys,California,Competitive Spirit Squads,84.0,250
2012-13,Boys,Colorado,Baseball,269.0,8314
2012-13,Boys,Colorado,Basketball,330.0,8920
2012-13,Boys,Colorado,Competitive Spirit Squads,,142
2012-13,Boys,Connecticut,Baseball,175.0,6102
2012-13,Boys,Connecticut,Basketball,178.0,5392
2012-13,Boys,Connecticut,Competitive Spirit Squads,,163
2012-13,Boys,Delaware,Baseball,48.0,1479
2012-13,Boys,Delaware,Basketball,50.0,1411
2012-13,Boys,Delaware,Competitive Spirit Squads,,7
2012-13,Boys,Florida,Baseball,613.0,15027
2012-13,Boys,Florida,Basketball,666.0,14869
2012-13,Boys,Florida,Bowling,170.0,1257
2012-13,Boys,Florida,Competitive Spirit Squads,,232
2012-13,Boys,Georgia,Baseball,417.0,12588
2012-13,Boys,Georgia,Basketball,432.0,12167
2012-13,Boys,Georgia,Competitive Spirit Squads,32.0,115
2012-13,Boys,Hawaii,Baseball,53.0,1751
2012-13,Boys,Hawaii,Basketball,63.0,1784
2012-13,Boys,Hawaii,Bowling,52.0,887
2012-13,Boys,Hawaii,Competitive Spirit Squads,11.0,70
2012-13,Boys,Idaho,Baseball,91.0,2314
2012-13,Boys,Idaho,Basketball,147.0,3672
2012-13,Boys,Idaho,Competitive Spirit Squads,37.0,110
2012-13,Boys,Illinois,Baseball,659.0,22884
2012-13,Boys,Illinois,Basketball,739.0,24351
2012-13,Boys,Illinois,Bowling,169.0,2450
2012-13,Boys,Indiana,Baseball,383.0,10829
2012-13,Boys,Indiana,Basketball,401.0,11183
2012-13,Boys,Iowa,Baseball,351.0,10847
2012-13,Boys,Iowa,Basketball,368.0,11269
2012-13,Boys,Iowa,Bowling,92.0,1576
2012-13,Boys,Kansas,Baseball,229.0,6143
2012-13,Boys,Kansas,Basketball,350.0,9059
2012-13,Boys,Kansas,Bowling,70.0,935
2012-13,Boys,Kentucky,Baseball,261.0,7278
2012-13,Boys,Kentucky,Basketball,272.0,6874
2012-13,Boys,Kentucky,Bowling,78.0,891
2012-13,Boys,Kentucky,Competitive Spirit Squads,,179
2012-13,Boys,Louisiana,Baseball,342.0,8344
2012-13,Boys,Louisiana,Basketball,374.0,7939
2012-13,Boys,Louisiana,Bowling,68.0,508
2012-13,Boys,Maine,Baseball,131.0,3343
2012-13,Boys,Maine,Basketball,142.0,3781
2012-13,Boys,Maine,Bowling,6.0,44
2012-13,Boys,Maine,Competitive Spirit Squads,21.0,25
2012-13,Boys,Maryland,Baseball,195.0,6050
2012-13,Boys,Maryland,Basketball,194.0,5837
2012-13,Boys,Maryland,Bowling,7.0,34
2012-13,Boys,Massachusetts,Baseball,352.0,12933
2012-13,Boys,Massachusetts,Basketball,359.0,12590
2012-13,Boys,Michigan,Baseball,639.0,18092
2012-13,Boys,Michigan,Basketball,738.0,22186
2012-13,Boys,Michigan,Bowling,343.0,3693
2012-13,Boys,Minnesota,Baseball,431.0,13164
2012-13,Boys,Minnesota,Basketball,469.0,13503
2012-13,Boys,Mississippi,Baseball,257.0,7358
2012-13,Boys,Mississippi,Basketball,264.0,8590
2012-13,Boys,Mississippi,Bowling,45.0,458
2012-13,Boys,Mississippi,Competitive Spirit Squads,104.0,36
2012-13,Boys,Missouri,Baseball,591.0,14906
2012-13,Boys,Missouri,Basketball,570.0,14322
2012-13,Boys,Montana,Baseball,,176
2012-13,Boys,Montana,Basketball,176.0,3527
2012-13,Boys,Nebraska,Baseball,72.0,2279
2012-13,Boys,Nebraska,Basketball,303.0,7305
2012-13,Boys,Nevada,Baseball,90.0,2472
2012-13,Boys,Nevada,Basketball,103.0,3132
2012-13,Boys,Nevada,Bowling,33.0,287
2012-13,Boys,New Hampshire,Baseball,85.0,2483
2012-13,Boys,New Hampshire,Basketball,86.0,2580
2012-13,Boys,New Hampshire,Bowling,,103
2012-13,Boys,New Hampshire,Competitive Spirit Squads,,16
2012-13,Boys,New Jersey,Baseball,389.0,16035
2012-13,Boys,New Jersey,Basketball,397.0,14193
2012-13,Boys,New Jersey,Bowling,229.0,2748
2012-13,Boys,New Mexico,Baseball,106.0,2922
2012-13,Boys,New Mexico,Basketball,154.0,4239
2012-13,Boys,New Mexico,Bowling,23.0,242
2012-13,Boys,New Mexico,Competitive Spirit Squads,156.0,142
2012-13,Boys,New York,Baseball,723.0,20773
2012-13,Boys,New York,Basketball,759.0,20514
2012-13,Boys,New York,Bowling,383.0,4569
2012-13,Boys,New York,Competitive Spirit Squads,,72
2012-13,Boys,North Carolina,Baseball,384.0,12513
2012-13,Boys,North Carolina,Basketball,396.0,10618
2012-13,Boys,North Dakota,Baseball,110.0,1498
2012-13,Boys,North Dakota,Basketball,164.0,2836
2012-13,Boys,Ohio,Baseball,775.0,20939
2012-13,Boys,Ohio,Basketball,800.0,21989
2012-13,Boys,Ohio,Bowling,358.0,3660
2012-13,Boys,Ohio,Competitive Spirit Squads,15.0,192
2012-13,Boys,Oklahoma,Baseball,315.0,9312
2012-13,Boys,Oklahoma,Basketball,338.0,9993
2012-13,Boys,Oklahoma,Competitive Spirit Squads,40.0,349
2012-13,Boys,Oregon,Baseball,231.0,5974
2012-13,Boys,Oregon,Basketball,279.0,7326
2012-13,Boys,Oregon,Competitive Spirit Squads,,236
2012-13,Boys,Pennsylvania,Baseball,664.0,21248
2012-13,Boys,Pennsylvania,Basketball,736.0,22080
2012-13,Boys,Pennsylvania,Bowling,144.0,1440
2012-13,Boys,Rhode Island,Baseball,47.0,1580
2012-13,Boys,Rhode Island,Basketball,48.0,1520
2012-13,Boys,Rhode Island,Competitive Spirit Squads,,9
2012-13,Boys,South Carolina,Baseball,199.0,6651
2012-13,Boys,South Carolina,Basketball,206.0,6781
2012-13,Boys,South Dakota,Baseball,,172
2012-13,Boys,South Dakota,Basketball,172.0,3564
2012-13,Boys,Tennessee,Baseball,353.0,8689
2012-13,Boys,Tennessee,Basketball,375.0,8842
2012-13,Boys,Tennessee,Bowling,150.0,1523
2012-13,Boys,Texas,Baseball,1131.0,45621
2012-13,Boys,Texas,Basketball,1311.0,72200
2012-13,Boys,Utah,Baseball,118.0,3253
2012-13,Boys,Utah,Basketball,133.0,3588
2012-13,Boys,Vermont,Baseball,37.0,845
2012-13,Boys,Vermont,Basketball,38.0,1067
2012-13,Boys,Vermont,Bowling,5.0,50
2012-13,Boys,Vermont,Competitive Spirit Squads,3.0,4
2012-13,Boys,Virginia,Baseball,308.0,9290
2012-13,Boys,Virginia,Basketball,312.0,9553
2012-13,Boys,Virginia,Competitive Spirit Squads,67.0,114
2012-13,Boys,Washington,Baseball,330.0,9605
2012-13,Boys,Washington,Basketball,380.0,11127
2012-13,Boys,West Virginia,Baseball,122.0,2788
2012-13,Boys,West Virginia,Basketball,125.0,2982
2012-13,Boys,Wisconsin,Baseball,437.0,12430
2012-13,Boys,Wisconsin,Basketball,483.0,15228
2012-13,Boys,Wyoming,Basketball,71.0,1807
2012-13,Boys,Wyoming,Competitive Spirit Squads,31.0,36
2012-13,Boys,Alabama,Cross Country,188.0,1316
2012-13,Boys,Alabama,Football 11-player,389.0,22875
2012-13,Boys,Alabama,Golf,208.0,1260
2012-13,Boys,Alaska,Cross Country,114.0,1088
2012-13,Boys,Alaska,Football 11-player,32.0,1856
2012-13,Boys,Arizona,Cross Country,192.0,3538
2012-13,Boys,Arizona,Football 11-player,192.0,18803
2012-13,Boys,Arizona,Golf,182.0,1890
2012-13,Boys,Arkansas,Cross Country,103.0,1165
2012-13,Boys,Arkansas,Football 11-player,162.0,8734
2012-13,Boys,Arkansas,Golf,161.0,1139
2012-13,Boys,Arkansas,Gymnastics,4.0,18
2012-13,Boys,California,Cross Country,1163.0,29583
2012-13,Boys,California,Football 11-player,1045.0,102505
2012-13,Boys,California,Golf,971.0,11062
2012-13,Boys,California,Gymnastics,9.0,36
2012-13,Boys,Colorado,Cross Country,230.0,3996
2012-13,Boys,Colorado,Football 11-player,215.0,15899
2012-13,Boys,Colorado,Golf,190.0,2238
2012-13,Boys,Connecticut,Cross Country,174.0,3941
2012-13,Boys,Connecticut,Football 11-player,146.0,10263
2012-13,Boys,Connecticut,Golf,157.0,1849
2012-13,Boys,Delaware,Cross Country,45.0,949
2012-13,Boys,Delaware,Football 11-player,45.0,3011
2012-13,Boys,Delaware,Golf,42.0,397
2012-13,Boys,Florida,Cross Country,553.0,7083
2012-13,Boys,Florida,Football 11-player,553.0,34848
2012-13,Boys,Florida,Golf,502.0,4020
2012-13,Boys,Georgia,Cross Country,396.0,7522
2012-13,Boys,Georgia,Football 11-player,413.0,33207
2012-13,Boys,Georgia,Golf,390.0,3453
2012-13,Boys,Hawaii,Cross Country,72.0,940
2012-13,Boys,Hawaii,Football 11-player,48.0,3761
2012-13,Boys,Hawaii,Golf,58.0,412
2012-13,Boys,Idaho,Cross Country,104.0,1652
2012-13,Boys,Idaho,Football 11-player,103.0,7166
2012-13,Boys,Idaho,Golf,90.0,992
2012-13,Boys,Illinois,Cross Country,499.0,11319
2012-13,Boys,Illinois,Football 11-player,558.0,46889
2012-13,Boys,Illinois,Golf,518.0,8059
2012-13,Boys,Illinois,Gymnastics,49.0,1662
2012-13,Boys,Indiana,Cross Country,379.0,5005
2012-13,Boys,Indiana,Football 11-player,315.0,21726
2012-13,Boys,Indiana,Golf,371.0,4184
2012-13,Boys,Iowa,Cross Country,319.0,5160
2012-13,Boys,Iowa,Football 11-player,278.0,18852
2012-13,Boys,Iowa,Golf,342.0,5614
2012-13,Boys,Kansas,Cross Country,246.0,3813
2012-13,Boys,Kansas,Football 11-player,235.0,13950
2012-13,Boys,Kansas,Golf,231.0,3097
2012-13,Boys,Kentucky,Cross Country,241.0,3011
2012-13,Boys,Kentucky,Football 11-player,222.0,13261
2012-13,Boys,Kentucky,Golf,241.0,2317
2012-13,Boys,Louisiana,Cross Country,274.0,2637
2012-13,Boys,Louisiana,Football 11-player,296.0,20193
2012-13,Boys,Louisiana,Golf,216.0,1209
2012-13,Boys,Louisiana,Gymnastics,24.0,39
2012-13,Boys,Maine,Cross Country,103.0,1324
2012-13,Boys,Maine,Football 11-player,84.0,3744
2012-13,Boys,Maine,Golf,104.0,1114
2012-13,Boys,Maryland,Cross Country,190.0,3950
2012-13,Boys,Maryland,Football 11-player,187.0,14606
2012-13,Boys,Maryland,Golf,163.0,1362
2012-13,Boys,Massachusetts,Cross Country,323.0,6691
