survey_year,gender,state,sport,schools,participants
2002-03,Girls,Alabama,Basketball,399.0,5358.0
2002-03,Girls,Alabama,Cross Country,126.0,
2002-03,Girls,Alaska,Basketball,134.0,2003.0
2002-03,Girls,Alaska,Competitive Spirit Squads,31.0,588.0
2002-03,Girls,Alaska,Cross Country,97.0,810.0
2002-03,Girls,Arizona,Basketball,212.0,6366.0
2002-03,Girls,Arizona,Competitive Spirit Squads,422.0,3661.0
2002-03,Girls,Arizona,Cross Country,163.0,1829.0
2002-03,Girls,Arkansas,Basketball,231.0,4381.0
2002-03,Girls,Arkansas,Competitive Spirit Squads,60.0,1414.0
2002-03,Girls,Arkansas,Cross Country,56.0,537.0
2002-03,Girls,California,Basketball,1160.0,33912.0
2002-03,Girls,California,Competitive Spirit Squads,411.0,42921.0
2002-03,Girls,California,Cross Country,971.0,
2002-03,Girls,California,Field Hockey,63.0,2170.0
2002-03,Girls,Colorado,Basketball,306.0,
2002-03,Girls,Colorado,Competitive Spirit Squads,230.0,5351.0
2002-03,Girls,Colorado,Cross Country,202.0,
2002-03,Girls,Colorado,Field Hockey,15.0,490.0
2002-03,Girls,Connecticut,Basketball,173.0,4263.0
2002-03,Girls,Connecticut,Competitive Spirit Squads,133.0,4800.0
2002-03,Girls,Connecticut,Cross Country,164.0,2277.0
2002-03,Girls,Connecticut,Field Hockey,72.0,3245.0
2002-03,Girls,Delaware,Basketball,44.0,973.0
2002-03,Girls,Delaware,Cross Country,39.0,557.0
2002-03,Girls,Delaware,Field Hockey,39.0,1372.0
2002-03,Girls,District of Columbia,Basketball,13.0,260.0
2002-03,Girls,District of Columbia,Competitive Spirit Squads,42.0,275.0
2002-03,Girls,District of Columbia,Cross Country,12.0,440.0
2002-03,Girls,Florida,Basketball,547.0,11353.0
2002-03,Girls,Florida,Cross Country,436.0,5344.0
2002-03,Girls,Georgia,Basketball,365.0,9258.0
2002-03,Girls,Georgia,Competitive Spirit Squads,211.0,4305.0
2002-03,Girls,Georgia,Cross Country,311.0,
2002-03,Girls,Hawaii,Basketball,63.0,1594.0
2002-03,Girls,Hawaii,Competitive Spirit Squads,47.0,724.0
2002-03,Girls,Hawaii,Cross Country,60.0,794.0
2002-03,Girls,Idaho,Basketball,169.0,3653.0
2002-03,Girls,Idaho,Competitive Spirit Squads,170.0,1628.0
2002-03,Girls,Idaho,Cross Country,93.0,786.0
2002-03,Girls,Illinois,Basketball,671.0,18918.0
2002-03,Girls,Illinois,Cross Country,472.0,7819.0
2002-03,Girls,Indiana,Basketball,383.0,9539.0
2002-03,Girls,Indiana,Cross Country,376.0,3981.0
2002-03,Girls,Iowa,Basketball,397.0,8981.0
2002-03,Girls,Iowa,Competitive Spirit Squads,57.0,2548.0
2002-03,Girls,Iowa,Cross Country,313.0,
2002-03,Girls,Kansas,Basketball,358.0,8080.0
2002-03,Girls,Kansas,Cross Country,214.0,2386.0
2002-03,Girls,Kentucky,Basketball,280.0,5950.0
2002-03,Girls,Kentucky,Competitive Spirit Squads,279.0,5444.0
2002-03,Girls,Kentucky,Cross Country,243.0,
2002-03,Girls,Louisiana,Basketball,377.0,9401.0
2002-03,Girls,Louisiana,Cross Country,307.0,1225.0
2002-03,Girls,Maine,Basketball,143.0,3581.0
2002-03,Girls,Maine,Competitive Spirit Squads,97.0,1864.0
2002-03,Girls,Maine,Cross Country,107.0,951.0
2002-03,Girls,Maine,Field Hockey,78.0,3025.0
2002-03,Girls,Maryland,Basketball,177.0,4469.0
2002-03,Girls,Maryland,Cross Country,165.0,2100.0
2002-03,Girls,Maryland,Field Hockey,120.0,4042.0
2002-03,Girls,Massachusetts,Basketball,343.0,10577.0
2002-03,Girls,Massachusetts,Cross Country,275.0,3968.0
2002-03,Girls,Massachusetts,Field Hockey,202.0,8819.0
2002-03,Girls,Michigan,Basketball,709.0,20837.0
2002-03,Girls,Michigan,Competitive Spirit Squads,165.0,4165.0
2002-03,Girls,Michigan,Cross Country,579.0,
2002-03,Girls,Michigan,Field Hockey,16.0,664.0
2002-03,Girls,Minnesota,Basketball,443.0,12903.0
2002-03,Girls,Minnesota,Cross Country,316.0,4486.0
2002-03,Girls,Mississippi,Basketball,265.0,6025.0
2002-03,Girls,Mississippi,Competitive Spirit Squads,145.0,2500.0
2002-03,Girls,Mississippi,Cross Country,123.0,1320.0
2002-03,Girls,Missouri,Basketball,531.0,12528.0
2002-03,Girls,Missouri,Competitive Spirit Squads,150.0,2200.0
2002-03,Girls,Missouri,Cross Country,306.0,4054.0
2002-03,Girls,Missouri,Field Hockey,21.0,1114.0
2002-03,Girls,Montana,Basketball,181.0,3661.0
2002-03,Girls,Montana,Competitive Spirit Squads,,406.0
2002-03,Girls,Montana,Cross Country,412.0,
2002-03,Girls,Nebraska,Basketball,316.0,7116.0
2002-03,Girls,Nebraska,Cross Country,172.0,
2002-03,Girls,Nevada,Basketball,89.0,2435.0
2002-03,Girls,Nevada,Cross Country,59.0,561.0
2002-03,Girls,New Hampshire,Basketball,88.0,2244.0
2002-03,Girls,New Hampshire,Competitive Spirit Squads,73.0,1912.0
2002-03,Girls,New Hampshire,Cross Country,68.0,736.0
2002-03,Girls,New Hampshire,Field Hockey,55.0,2019.0
2002-03,Girls,New Jersey,Basketball,408.0,9520.0
2002-03,Girls,New Jersey,Cross Country,318.0,3894.0
2002-03,Girls,New Jersey,Field Hockey,221.0,9424.0
2002-03,Girls,New Mexico,Basketball,151.0,4560.0
2002-03,Girls,New Mexico,Cross Country,107.0,992.0
2002-03,Girls,New York,Basketball,688.0,17245.0
2002-03,Girls,New York,Cross Country,539.0,6122.0
2002-03,Girls,New York,Field Hockey,232.0,8508.0
2002-03,Girls,North Carolina,Basketball,343.0,9451.0
2002-03,Girls,North Carolina,Competitive Spirit Squads,333.0,13746.0
2002-03,Girls,North Carolina,Cross Country,,3674.0
2002-03,Girls,North Carolina,Field Hockey,,234.0
2002-03,Girls,North Dakota,Basketball,180.0,2940.0
2002-03,Girls,North Dakota,Competitive Spirit Squads,22.0,398.0
2002-03,Girls,North Dakota,Cross Country,59.0,365.0
2002-03,Girls,Ohio,Basketball,784.0,17874.0
2002-03,Girls,Ohio,Cross Country,564.0,6898.0
