survey_year,gender,state,sport,schools,participants
1994-95,Girls,Alabama,Basketball,,1223.0
1994-95,Girls,Alabama,Cross Country,,437.0
1994-95,Girls,Alaska,Basketball,86.0,
1994-95,Girls,Alaska,Cross Country,120.0,1332.0
1994-95,Girls,Arizona,Basketball,175.0,
1994-95,Girls,Arizona,Cross Country,,513.0
1994-95,Girls,Arkansas,Cross Country,748.0,11334.0
1994-95,Girls,California,Basketball,940.0,26002.0
1994-95,Girls,California,Competitive Spirit Squads,103.0,1412.0
1994-95,Girls,California,Cross Country,154.0,1741.0
1994-95,Girls,Colorado,Basketball,274.0,7021.0
1994-95,Girls,Colorado,Cross Country,147.0,1716.0
1994-95,Girls,Connecticut,Basketball,168.0,3821.0
1994-95,Girls,Connecticut,Competitive Spirit Squads,,171.0
1994-95,Girls,Connecticut,Cross Country,33.0,426.0
1994-95,Girls,Delaware,Basketball,41.0,1017.0
1994-95,Girls,Delaware,Competitive Spirit Squads,,131.0
1994-95,Girls,District of Columbia,Cross Country,326.0,3660.0
1994-95,Girls,District of Columbia,Basketball,426.0,8728.0
1994-95,Girls,Florida,Competitive Spirit Squads,210.0,3546.0
1994-95,Girls,Florida,Cross Country,234.0,2694.0
1994-95,Girls,Georgia,Basketball,335.0,8951.0
1994-95,Girls,Hawaii,Basketball,55.0,1382.0
1994-95,Girls,Hawaii,Competitive Spirit Squads,63.0,751.0
1994-95,Girls,Hawaii,Cross Country,54.0,346.0
1994-95,Girls,Idaho,Cross Country,421.0,6363.0
1994-95,Girls,Idaho,Basketball,638.0,17474.0
1994-95,Girls,Indiana,Basketball,401.0,
1994-95,Girls,Indiana,Cross Country,266.0,2217.0
1994-95,Girls,Iowa,Cross Country,221.0,1773.0
1994-95,Girls,Kansas,Basketball,361.0,8468.0
1994-95,Girls,Kentucky,Basketball,274.0,5426.0
1994-95,Girls,Kentucky,Competitive Spirit Squads,253.0,4961.0
1994-95,Girls,Kentucky,Cross Country,205.0,1812.0
1994-95,Girls,Louisiana,Competitive Spirit Squads,,956.0
1994-95,Girls,Louisiana,Cross Country,105.0,839.0
1994-95,Girls,Maine,Basketball,131.0,3347.0
1994-95,Girls,Maryland,Basketball,,3963.0
1994-95,Girls,Maryland,Competitive Spirit Squads,33.0,860.0
1994-95,Girls,Maryland,Cross Country,138.0,1455.0
1994-95,Girls,Massachusetts,Basketball,303.0,9719.0
1994-95,Girls,Massachusetts,Competitive Spirit Squads,,2154.0
1994-95,Girls,Massachusetts,Cross Country,534.0,5446.0
1994-95,Girls,Minnesota,Basketball,,6968.0
1994-95,Girls,Minnesota,Cross Country,282.0,1809.0
1994-95,Girls,Mississippi,Basketball,261.0,
1994-95,Girls,Mississippi,Competitive Spirit Squads,,1600.0
1994-95,Girls,Mississippi,Cross Country,234.0,3109.0
1994-95,Girls,Missouri,Basketball,524.0,12222.0
1994-95,Girls,Missouri,Competitive Spirit Squads,160.0,
1994-95,Girls,Missouri,Cross Country,,685.0
1994-95,Girls,Montana,Basketball,181.0,
1994-95,Girls,Montana,Cross Country,154.0,1210.0
1994-95,Girls,Nebraska,Basketball,,7771.0
1994-95,Girls,Nebraska,Cross Country,,453.0
1994-95,Girls,Nevada,Competitive Spirit Squads,,1199.0
1994-95,Girls,Nevada,Cross Country,,633.0
1994-95,Girls,New Hampshire,Basketball,,2365.0
1994-95,Girls,New Hampshire,Cross Country,,3399.0
1994-95,Girls,New Jersey,Basketball,369.0,8177.0
1994-95,Girls,New Jersey,Cross Country,,756.0
1994-95,Girls,New Jersey,Competitive Spirit Squads,,1553.0
1994-95,Girls,New Mexico,Cross Country,461.0,4689.0
1994-95,Girls,New Mexico,Basketball,696.0,16154.0
1994-95,Girls,New York,Competitive Spirit Squads,,600.0
1994-95,Girls,New York,Cross Country,228.0,2403.0
1994-95,Girls,North Carolina,Basketball,321.0,7193.0
1994-95,Girls,North Carolina,Cross Country,,316.0
1994-95,Girls,North Dakota,Cross Country,635.0,5806.0
1994-95,Girls,Ohio,Basketball,775.0,18588.0
1994-95,Girls,Ohio,Competitive Spirit Squads,,2071.0
1994-95,Girls,Ohio,Cross Country,,947.0
1994-95,Girls,Oklahoma,Basketball,472.0,9702.0
1994-95,Girls,Oklahoma,Competitive Spirit Squads,138.0,
1994-95,Girls,Oklahoma,Cross Country,,2700.0
1994-95,Girls,Oregon,Cross Country,434.0,4340.0
1994-95,Girls,Oregon,Basketball,,18600.0
1994-95,Girls,Pennsylvania,Basketball,620.0,
