survey_year,year,boys,girls,total
1994-95,1972-73,1972.0,3770624,4972.0
1994-95,1973-74,1973.0,4070125,1973.0
1994-95,1975-76,1975.0,4109021,1975.0
1994-95,1977-78,1977.0,4367442,1977.0
1994-95,1978-79,1978.0,3709512,1978.0
1994-95,1979-80,1979.0,3517829,1979.0
1994-95,1980-81,1980.0,3503124,1980.0
1994-95,1981-82,1981.0,3409084,1981.0
1994-95,1983-84,1983.0,3303599,1983.0
1994-95,1984-85,1984.0,3354284,1984.0
1994-95,1985-86,1985.0,3344275,1985.0
1994-95,1986-87,1986.0,3364082,1986.0
1994-95,1987-88,1987.0,3425777,1987.0
1994-95,1988-89,1988.0,3416844,1988.0
1994-95,1989-90,1989.0,3398,1989.0
1994-95,1991-92,1991.0,3429853,1991.0
1994-95,1992-93,1992.0,3416389,1992.0
1994-95,1994-95,,1994,
1994-95,4982-83,4982.0,3355558,4982.0
1994-95,4990-91,4990.0,3406355,1990.0
1994-95,4993-94,4993.0,3472967,1993.0
