survey_year,gender,state,sport,schools,participants
2001-02,Girls,Alabama,Basketball,394.0,
2001-02,Girls,Alabama,Cross Country,101.0,736.0
2001-02,Girls,Alaska,Basketball,124.0,
2001-02,Girls,Alaska,Competitive Spirit Squads,29.0,583.0
2001-02,Girls,Alaska,Cross Country,84.0,727.0
2001-02,Girls,Arizona,Basketball,200.0,
2001-02,Girls,Arizona,Competitive Spirit Squads,219.0,4895.0
2001-02,Girls,Arizona,Cross Country,154.0,1711.0
2001-02,Girls,Arkansas,Basketball,231.0,
2001-02,Girls,Arkansas,Competitive Spirit Squads,60.0,1758.0
2001-02,Girls,Arkansas,Cross Country,46.0,671.0
2001-02,Girls,Arkansas,Field Hockey,,2629.0
2001-02,Girls,California,Basketball,1155.0,33834.0
2001-02,Girls,California,Competitive Spirit Squads,462.0,13372.0
2001-02,Girls,California,Cross Country,948.0,16060.0
2001-02,Girls,California,Field Hockey,76.0,
2001-02,Girls,Colorado,Basketball,300.0,
2001-02,Girls,Colorado,Competitive Spirit Squads,134.0,2503.0
2001-02,Girls,Colorado,Cross Country,184.0,2336.0
2001-02,Girls,Colorado,Field Hockey,11.0,483.0
2001-02,Girls,Connecticut,Basketball,174.0,
2001-02,Girls,Connecticut,Cross Country,158.0,2181.0
2001-02,Girls,Connecticut,Field Hockey,72.0,3109.0
2001-02,Girls,Delaware,Basketball,43.0,
2001-02,Girls,Delaware,Competitive Spirit Squads,30.0,888.0
2001-02,Girls,Delaware,Cross Country,38.0,534.0
2001-02,Girls,Delaware,Field Hockey,44.0,1553.0
2001-02,Girls,District of Columbia,Basketball,13.0,
2001-02,Girls,District of Columbia,Competitive Spirit Squads,12.0,250.0
2001-02,Girls,District of Columbia,Cross Country,14.0,150.0
2001-02,Girls,Florida,Basketball,540.0,
2001-02,Girls,Florida,Cross Country,432.0,5649.0
2001-02,Girls,Georgia,Basketball,365.0,
2001-02,Girls,Georgia,Competitive Spirit Squads,211.0,4305.0
2001-02,Girls,Georgia,Cross Country,291.0,3690.0
2001-02,Girls,Hawaii,Basketball,64.0,
2001-02,Girls,Hawaii,Competitive Spirit Squads,47.0,730.0
2001-02,Girls,Hawaii,Cross Country,57.0,679.0
2001-02,Girls,Idaho,Basketball,167.0,
2001-02,Girls,Idaho,Cross Country,95.0,734.0
2001-02,Girls,Illinois,Basketball,666.0,18516.0
2001-02,Girls,Illinois,Cross Country,462.0,6605.0
2001-02,Girls,Indiana,Basketball,379.0,
2001-02,Girls,Indiana,Cross Country,351.0,3723.0
2001-02,Girls,Iowa,Basketball,397.0,
2001-02,Girls,Iowa,Competitive Spirit Squads,,1622.0
2001-02,Girls,Iowa,Cross Country,311.0,3450.0
2001-02,Girls,Kansas,Basketball,366.0,
2001-02,Girls,Kansas,Cross Country,22.0,2394.0
2001-02,Girls,Kentucky,Basketball,280.0,
2001-02,Girls,Kentucky,Competitive Spirit Squads,279.0,5444.0
2001-02,Girls,Kentucky,Cross Country,245.0,2427.0
2001-02,Girls,Louisiana,Basketball,377.0,
2001-02,Girls,Louisiana,Cross Country,205.0,1225.0
2001-02,Girls,Maine,Basketball,133.0,
2001-02,Girls,Maine,Competitive Spirit Squads,,1867.0
2001-02,Girls,Maine,Cross Country,102.0,952.0
2001-02,Girls,Maine,Field Hockey,82.0,3131.0
2001-02,Girls,Maryland,Basketball,177.0,
2001-02,Girls,Maryland,Cross Country,163.0,2035.0
2001-02,Girls,Maryland,Field Hockey,166.0,3385.0
2001-02,Girls,Massachusetts,Basketball,345.0,
2001-02,Girls,Massachusetts,Cross Country,256.0,3766.0
2001-02,Girls,Massachusetts,Field Hockey,202.0,8963.0
2001-02,Girls,Michigan,Basketball,717.0,
2001-02,Girls,Michigan,Competitive Spirit Squads,162.0,4063.0
2001-02,Girls,Michigan,Cross Country,550.0,6619.0
2001-02,Girls,Michigan,Field Hockey,13.0,627.0
2001-02,Girls,Minnesota,Basketball,440.0,12841.0
2001-02,Girls,Minnesota,Cross Country,315.0,4450.0
2001-02,Girls,Mississippi,Basketball,156.0,
2001-02,Girls,Mississippi,Competitive Spirit Squads,145.0,2500.0
2001-02,Girls,Mississippi,Cross Country,127.0,1216.0
2001-02,Girls,Missouri,Basketball,5382.0,12513.0
2001-02,Girls,Missouri,Field Hockey,94.0,
2001-02,Girls,Missouri,Competitive Spirit Squads,120.0,1420.0
2001-02,Girls,Missouri,Cross Country,300.0,4005.0
2001-02,Girls,Montana,Basketball,181.0,
2001-02,Girls,Montana,Competitive Spirit Squads,,251.0
2001-02,Girls,Montana,Cross Country,,769.0
2001-02,Girls,Nebraska,Basketball,321.0,
2001-02,Girls,Nebraska,Cross Country,182.0,1382.0
2001-02,Girls,Nevada,Cross Country,,567.0
2001-02,Girls,New Hampshire,Competitive Spirit Squads,,2155.0
2001-02,Girls,New Hampshire,Cross Country,,759.0
2001-02,Girls,New Jersey,Basketball,391.0,
2001-02,Girls,New Jersey,Cross Country,294.0,4092.0
2001-02,Girls,New Jersey,Field Hockey,914.0,9524.0
2001-02,Girls,New Mexico,Basketball,130.0,
2001-02,Girls,New Mexico,Competitive Spirit Squads,111.0,915.0
2001-02,Girls,New Mexico,Cross Country,,1082.0
2001-02,Girls,New York,Basketball,753.0,
2001-02,Girls,New York,Field Hockey,,8654.0
2001-02,Girls,New York,Cross Country,527.0,6120.0
2001-02,Girls,North Carolina,Basketball,338.0,
2001-02,Girls,North Carolina,Competitive Spirit Squads,,2225.0
2001-02,Girls,North Carolina,Cross Country,289.0,3510.0
2001-02,Girls,North Carolina,Field Hockey,,137.0
2001-02,Girls,North Dakota,Basketball,181.0,
2001-02,Girls,North Dakota,Competitive Spirit Squads,,384.0
2001-02,Girls,North Dakota,Cross Country,,360.0
2001-02,Girls,Ohio,Basketball,784.0,18352.0
2001-02,Girls,Ohio,Cross Country,481.0,7074.0
2001-02,Girls,Ohio,Field Hockey,,1161.0
2001-02,Girls,Oklahoma,Basketball,468.0,
2001-02,Girls,Oklahoma,Competitive Spirit Squads,162.0,1115.0
2001-02,Girls,Oklahoma,Cross Country,162.0,1191.0
2001-02,Girls,Oregon,Basketball,273.0,
2001-02,Girls,Oregon,Competitive Spirit Squads,,703.0
2001-02,Girls,Oregon,Cross Country,178.0,1944.0
2001-02,Girls,Pennsylvania,Basketball,640.0,719200.0
2001-02,Girls,Pennsylvania,Cross Country,489.0,4890.0
2001-02,Girls,Pennsylvania,Field Hockey,256.0,
2001-02,Girls,Rhode Island,Cross Country,,662.0
2001-02,Girls,Rhode Island,Field Hockey,,634.0
2001-02,Girls,South Carolina,Basketball,194.0,
2001-02,Girls,South Carolina,Competitive Spirit Squads,,2184.0
2001-02,Girls,South Carolina,Cross Country,131.0,1565.0
2001-02,Girls,South Dakota,Basketball,182.0,
2001-02,Girls,South Dakota,Competitive Spirit Squads,,275.0
2001-02,Girls,South Dakota,Cross Country,,622.0
2001-02,Girls,Tennessee,Basketball,344.0,
2001-02,Girls,Tennessee,Competitive Spirit Squads,333.0,4000.0
2001-02,Girls,Tennessee,Cross Country,220.0,1980.0
2001-02,Girls,Texas,Basketball,1193.0,69975.0
2001-02,Girls,Texas,Competitive Spirit Squads,650.0,23222.0
