survey_year,year,boys,girls,total
2016-17,1971-72,3666917,294015,3960932
2016-17,1972-73,3770621,817073,4587694
2016-17,1973-74,4070125,1300169,5370294
2016-17,1975-76,4109021,1645039,5754060
2016-17,1977-78,4367442,2083040,6450482
2016-17,1978-79,3709512,1854400,5563912
2016-17,1979-80,3517829,1750264,5268093
2016-17,1980-81,3503124,1853789,5356913
2016-17,1981-82,3409081,1810671,5219752
2016-17,1982-83,3355558,1779972,5135530
2016-17,1983-84,3303599,1747346,5050945
2016-17,1984-85,3354284,1757884,5112168
2016-17,1985-86,3344275,1807121,5151396
2016-17,1986-87,3364082,1836356,5200438
2016-17,1987-88,3425777,1849684,5275461
2016-17,1988-89,3416844,1839352,5256196
2016-17,1989-90,3398192,1858659,5256851
2016-17,1990-91,3406355,1892316,5298671
2016-17,1991-92,3429853,1940801,5370654
2016-17,1992-93,3416389,1997489,5413878
2016-17,1993-94,3472967,2130315,5603282
2016-17,1994-95,3536359,2240461,5776820
