survey_year,gender,state,sport,schools,participants
1999-00,Girls,Alabama,Basketball,392.0,5891.0
1999-00,Girls,Alabama,Cross Country,46.0,335.0
1999-00,Girls,Alaska,Basketball,123.0,1857.0
1999-00,Girls,Alaska,Competitive Spirit Squads,28.0,348.0
1999-00,Girls,Alaska,Cross Country,80.0,948.0
1999-00,Girls,Arizona,Basketball,197.0,5846.0
1999-00,Girls,Arizona,Cross Country,144.0,
1999-00,Girls,Arkansas,Basketball,280.0,5245.0
1999-00,Girls,Arkansas,Competitive Spirit Squads,61.0,1367.0
1999-00,Girls,Arkansas,Cross Country,61.0,543.0
1999-00,Girls,California,Basketball,1103.0,32218.0
1999-00,Girls,California,Cross Country,847.0,14815.0
1999-00,Girls,California,Field Hockey,,2195.0
1999-00,Girls,Colorado,Basketball,290.0,7211.0
1999-00,Girls,Colorado,Competitive Spirit Squads,139.0,2808.0
1999-00,Girls,Colorado,Cross Country,193.0,2361.0
1999-00,Girls,Colorado,Field Hockey,11.0,441.0
1999-00,Girls,Connecticut,Basketball,170.0,4047.0
1999-00,Girls,Connecticut,Competitive Spirit Squads,66.0,1320.0
1999-00,Girls,Connecticut,Cross Country,149.0,
1999-00,Girls,Connecticut,Field Hockey,71.0,2890.0
1999-00,Girls,Delaware,Basketball,45.0,1018.0
1999-00,Girls,Delaware,Competitive Spirit Squads,,212.0
1999-00,Girls,Delaware,Cross Country,37.0,525.0
1999-00,Girls,Delaware,Field Hockey,40.0,1555.0
1999-00,Girls,District of Columbia,Basketball,12.0,210.0
1999-00,Girls,District of Columbia,Competitive Spirit Squads,,85.0
1999-00,Girls,District of Columbia,Cross Country,,80.0
1999-00,Girls,Florida,Basketball,500.0,10987.0
1999-00,Girls,Florida,Cross Country,306.0,2066.0
1999-00,Girls,Georgia,Basketball,343.0,8855.0
1999-00,Girls,Georgia,Competitive Spirit Squads,219.0,4051.0
1999-00,Girls,Georgia,Cross Country,269.0,
1999-00,Girls,Hawaii,Basketball,61.0,1531.0
1999-00,Girls,Hawaii,Competitive Spirit Squads,46.0,771.0
1999-00,Girls,Hawaii,Cross Country,51.0,691.0
1999-00,Girls,Indiana,Basketball,381.0,11499.0
1999-00,Girls,Indiana,Cross Country,360.0,3683.0
1999-00,Girls,Indiana,Competitive Spirit Squads,57.0,1645.0
1999-00,Girls,Kansas,Basketball,350.0,10120.0
1999-00,Girls,Kansas,Cross Country,208.0,2324.0
1999-00,Girls,Kentucky,Basketball,267.0,5674.0
1999-00,Girls,Kentucky,Competitive Spirit Squads,202.0,3942.0
1999-00,Girls,Kentucky,Cross Country,204.0,2021.0
1999-00,Girls,Kentucky,Field Hockey,18.0,664.0
1999-00,Girls,Louisiana,Basketball,376.0,9400.0
1999-00,Girls,Louisiana,Cross Country,204.0,1224.0
1999-00,Girls,Louisiana,Competitive Spirit Squads,89.0,1608.0
1999-00,Girls,Louisiana,Field Hockey,83.0,2974.0
1999-00,Girls,Maryland,Basketball,176.0,4904.0
1999-00,Girls,Maryland,Cross Country,158.0,1821.0
1999-00,Girls,Maryland,Field Hockey,114.0,4059.0
1999-00,Girls,Massachusetts,Basketball,322.0,9269.0
1999-00,Girls,Massachusetts,Cross Country,233.0,3926.0
1999-00,Girls,Massachusetts,Field Hockey,193.0,8418.0
1999-00,Girls,Michigan,Basketball,705.0,19760.0
1999-00,Girls,Michigan,Competitive Spirit Squads,145.0,3019.0
1999-00,Girls,Michigan,Cross Country,75.0,6761.0
1999-00,Girls,Minnesota,Basketball,444.0,12280.0
1999-00,Girls,Minnesota,Cross Country,324.0,3952.0
1999-00,Girls,Mississippi,Basketball,256.0,5662.0
1999-00,Girls,Mississippi,Competitive Spirit Squads,145.0,3000.0
1999-00,Girls,Mississippi,Cross Country,58.0,1101.0
1999-00,Girls,Missouri,Basketball,534.0,12646.0
1999-00,Girls,Missouri,Competitive Spirit Squads,120.0,1400.0
1999-00,Girls,Missouri,Cross Country,281.0,3795.0
1999-00,Girls,Missouri,Field Hockey,21.0,839.0
1999-00,Girls,Montana,Basketball,180.0,3984.0
1999-00,Girls,Montana,Cross Country,68.0,767.0
1999-00,Girls,Nebraska,Basketball,828.0,7223.0
1999-00,Girls,Nebraska,Cross Country,176.0,1450.0
1999-00,Girls,Nevada,Basketball,80.0,2253.0
1999-00,Girls,Nevada,Cross Country,54.0,527.0
1999-00,Girls,New Hampshire,Basketball,87.0,2343.0
1999-00,Girls,New Hampshire,Competitive Spirit Squads,108.0,1663.0
1999-00,Girls,New Hampshire,Cross Country,67.0,720.0
1999-00,Girls,New Hampshire,Field Hockey,53.0,2106.0
1999-00,Girls,New Jersey,Basketball,381.0,10016.0
1999-00,Girls,New Jersey,Cross Country,353.0,4463.0
1999-00,Girls,New Jersey,Field Hockey,206.0,9602.0
1999-00,Girls,New Mexico,Basketball,130.0,
1999-00,Girls,New Mexico,Competitive Spirit Squads,111.0,865.0
1999-00,Girls,New Mexico,Cross Country,85.0,962.0
1999-00,Girls,New York,Basketball,714.0,17334.0
1999-00,Girls,New York,Cross Country,487.0,5841.0
1999-00,Girls,New York,Field Hockey,228.0,8524.0
1999-00,Girls,North Carolina,Basketball,329.0,7791.0
1999-00,Girls,North Carolina,Competitive Spirit Squads,75.0,1933.0
1999-00,Girls,North Carolina,Cross Country,270.0,4037.0
1999-00,Girls,North Carolina,Field Hockey,,175.0
1999-00,Girls,North Dakota,Basketball,157.0,3354.0
1999-00,Girls,North Dakota,Cross Country,46.0,369.0
1999-00,Girls,Oklahoma,Basketball,469.0,6580.0
1999-00,Girls,Oklahoma,Competitive Spirit Squads,171.0,2565.0
1999-00,Girls,Oklahoma,Cross Country,149.0,1161.0
1999-00,Girls,Oregon,Basketball,267.0,6446.0
1999-00,Girls,Oregon,Competitive Spirit Squads,66.0,710.0
1999-00,Girls,Oregon,Cross Country,182.0,1987.0
1999-00,Girls,Pennsylvania,Basketball,639.0,19170.0
1999-00,Girls,Pennsylvania,Cross Country,460.0,4600.0
1999-00,Girls,Pennsylvania,Field Hockey,254.0,8890.0
1999-00,Girls,Rhode Island,Basketball,44.0,1093.0
1999-00,Girls,Rhode Island,Cross Country,40.0,687.0
1999-00,Girls,Rhode Island,Field Hockey,20.0,678.0
1999-00,Girls,South Carolina,Basketball,193.0,5148.0
1999-00,Girls,South Carolina,Competitive Spirit Squads,78.0,1828.0
1999-00,Girls,South Carolina,Cross Country,124.0,1473.0
1999-00,Girls,South Carolina,Field Hockey,,67.0
1999-00,Girls,South Dakota,Basketball,168.0,3276.0
1999-00,Girls,South Dakota,Competitive Spirit Squads,20.0,
1999-00,Girls,South Dakota,Cross Country,74.0,615.0
1999-00,Girls,Tennessee,Basketball,342.0,
1999-00,Girls,Tennessee,Competitive Spirit Squads,75.0,975.0
1999-00,Girls,Tennessee,Cross Country,232.0,2618.0
1999-00,Girls,Vermont,Basketball,70.0,1833.0
1999-00,Girls,Vermont,Competitive Spirit Squads,22.0,367.0
1999-00,Girls,Vermont,Cross Country,44.0,452.0
1999-00,Girls,Vermont,Field Hockey,32.0,1159.0
1999-00,Girls,Virginia,Basketball,253.0,6178.0
1999-00,Girls,Virginia,Cross Country,223.0,2879.0
1999-00,Girls,Virginia,Field Hockey,96.0,3136.0
1999-00,Girls,Washington,Basketball,372.0,10138.0
1999-00,Girls,Washington,Cross Country,271.0,3455.0
1999-00,Girls,West Virginia,Basketball,134.0,2467.0
1999-00,Girls,West Virginia,Competitive Spirit Squads,130.0,
1999-00,Girls,West Virginia,Cross Country,67.0,648.0
1999-00,Girls,Wisconsin,Basketball,419.0,12108.0
1999-00,Girls,Wisconsin,Cross Country,345.0,4160.0
1999-00,Girls,Wyoming,Basketball,70.0,1658.0
1999-00,Girls,Wyoming,Competitive Spirit Squads,34.0,364.0
1999-00,Girls,Wyoming,Cross Country,30.0,360.0
1999-00,Girls,Alabama,Golf,123.0,367.0
1999-00,Girls,Alaska,Gymnastics,10.0,176.0
1999-00,Girls,Alaska,Skiing Cross Country,27.0,455.0
1999-00,Girls,Arizona,Golf,96.0,620.0
1999-00,Girls,Arkansas,Golf,50.0,242.0
1999-00,Girls,Arkansas,Gymnastics,10.0,114.0
1999-00,Girls,California,Golf,372.0,1505.0
1999-00,Girls,California,Gymnastics,72.0,1280.0
1999-00,Girls,Colorado,Golf,104.0,1162.0
1999-00,Girls,Colorado,Gymnastics,60.0,673.0
1999-00,Girls,Colorado,Skiing Cross Country,14.0,104.0
1999-00,Girls,Connecticut,Golf,42.0,120.0
1999-00,Girls,Connecticut,Gymnastics,66.0,512.0
1999-00,Girls,Delaware,Golf,12.0,18.0
1999-00,Girls,Florida,Golf,306.0,2066.0
1999-00,Girls,Georgia,Golf,188.0,692.0
1999-00,Girls,Georgia,Gymnastics,29.0,300.0
1999-00,Girls,Hawaii,Golf,45.0,178.0
1999-00,Girls,Hawaii,Gymnastics,,35.0
1999-00,Girls,Idaho,Golf,98.0,570.0
1999-00,Girls,Idaho,Skiing Cross Country,,79.0
1999-00,Girls,Idaho,Gymnastics,94.0,1833.0
1999-00,Girls,Indiana,Golf,241.0,2411.0
1999-00,Girls,Indiana,Gymnastics,92.0,1171.0
1999-00,Girls,Kansas,Golf,80.0,890.0
1999-00,Girls,Kansas,Gymnastics,27.0,222.0
1999-00,Girls,Kentucky,Golf,170.0,1037.0
1999-00,Girls,Louisiana,Golf,22.0,44.0
1999-00,Girls,Louisiana,Gymnastics,18.0,216.0
1999-00,Girls,Maine,Golf,47.0,91.0
1999-00,Girls,Maine,Gymnastics,18.0,86.0
1999-00,Girls,Maine,Skiing Cross Country,39.0,359.0
1999-00,Girls,Maryland,Golf,69.0,88.0
1999-00,Girls,Maryland,Gymnastics,,187.0
1999-00,Girls,Massachusetts,Golf,36.0,301.0
1999-00,Girls,Massachusetts,Gymnastics,87.0,1264.0
1999-00,Girls,Massachusetts,Skiing Cross Country,18.0,228.0
1999-00,Girls,Michigan,Golf,268.0,3564.0
1999-00,Girls,Michigan,Gymnastics,71.0,1078.0
