survey_year,year,boys,girls,total
1998-99,1972-73,1972.0,3770621,817073.0
1998-99,1973-74,1973.0,4070125,1973.0
1998-99,1975-76,4109021.0,1975,1645039.0
1998-99,1979-80,1979.0,3517829,1750264.0
1998-99,1980-81,1980.0,3503,1980.0
1998-99,1981-82,1981.0,3409081,1981.0
1998-99,1982-83,1982.0,3355558,79972.0
1998-99,1983-84,1983.0,3303599,1983.0
1998-99,1984-85,1984.0,3354284,1757884.0
1998-99,1985-86,3344275.0,1985,1807121.0
1998-99,1986-87,1986.0,3364082,1986.0
1998-99,1988-89,1988.0,3416844,1988.0
1998-99,1989-90,1989.0,3398192,1989.0
1998-99,1991-92,1991.0,3429853,1991.0
1998-99,1992-93,1992.0,3416389,1997489.0
1998-99,1993-94,1993.0,3472967,2130315.0
1998-99,1994-95,1994.0,3536359,2240461.0
1998-99,1995-96,1995.0,3634052,1995.0
1998-99,1996-97,1996.0,3706225,2474043.0
1998-99,1997-98,1997.0,3763120,1997.0
1998-99,1998-99,,1998,
