survey_year,gender,state,sport,schools,participants
2005-06,Girls,Alaska,Basketball,10.0,98.0
2005-06,Girls,Arkansas,Basketball,27.0,256.0
2005-06,Girls,Colorado,Competitive Spirit Squads,217.0,
2005-06,Girls,Connecticut,Competitive Spirit Squads,,2468.0
2005-06,Girls,Delaware,Competitive Spirit Squads,38.0,448.0
2005-06,Girls,District of Columbia,Competitive Spirit Squads,12.0,125.0
2005-06,Girls,Florida,Basketball,138.0,1283.0
2005-06,Girls,Florida,Competitive Spirit Squads,468.0,5766.0
2005-06,Girls,Georgia,Competitive Spirit Squads,848.0,
2005-06,Girls,Hawaii,Basketball,,536.0
2005-06,Girls,Hawaii,Competitive Spirit Squads,68.0,874.0
2005-06,Girls,Illinois,Competitive Spirit Squads,492.0,8511.0
2005-06,Girls,Massachusetts,Competitive Spirit Squads,,87.0
2005-06,Girls,Michigan,Basketball,234.0,2808.0
2005-06,Girls,Michigan,Competitive Spirit Squads,576.0,
2005-06,Girls,Minnesota,Competitive Spirit Squads,329.0,4444.0
2005-06,Girls,North Carolina,Competitive Spirit Squads,325.0,4083.0
2005-06,Girls,Ohio,Competitive Spirit Squads,710.0,7322.0
2005-06,Girls,Oklahoma,Competitive Spirit Squads,473.0,1275.0
2005-06,Girls,Oregon,Competitive Spirit Squads,203.0,2336.0
2005-06,Girls,Rhode Island,Competitive Spirit Squads,42.0,647.0
2005-06,Girls,South Dakota,Competitive Spirit Squads,130.0,649.0
2005-06,Girls,Texas,Competitive Spirit Squads,1187.0,28233.0
2005-06,Girls,Wisconsin,Competitive Spirit Squads,381520.0,
2005-06,Girls,Wyoming,Competitive Spirit Squads,37.0,378.0
2005-06,Girls,Wyoming,Basketball,,11.0
2005-06,Girls,Illinois,Golf,900.0,
2005-06,Girls,Alaska,Soccer,24.0,150.0
2005-06,Girls,Minnesota,Soccer,234.0,3634.0
2005-06,Girls,Wyoming,Softball Fast Pitch,,13.0
2005-06,Girls,Alabama,Track and Field Outdoor,298.0,
2005-06,Girls,Alabama,Volleyball,,238.0
2005-06,Girls,Alaska,Tennis,16.0,241.0
2005-06,Girls,Alaska,Track and Field Outdoor,45.0,989.0
2005-06,Girls,Alaska,Volleyball,70.0,
2005-06,Girls,Arkansas,Tennis,94.0,863.0
2005-06,Girls,Colorado,Tennis,140.0,4265.0
2005-06,Girls,Colorado,Track and Field Indoor,182.0,
2005-06,Girls,Connecticut,Volleyball,,55.0
2005-06,Girls,Connecticut,Track and Field Indoor,,684.0
2005-06,Girls,Delaware,Tennis,30.0,684.0
2005-06,Girls,Delaware,Track and Field Indoor,30.0,
2005-06,Girls,Delaware,Track and Field Outdoor,,884.0
2005-06,Girls,Delaware,Volleyball,41.0,1163.0
2005-06,Girls,District of Columbia,Tennis,10.0,50.0
2005-06,Girls,District of Columbia,Track and Field Indoor,13.0,225.0
2005-06,Girls,District of Columbia,Track and Field Outdoor,43.0,264.0
2005-06,Girls,District of Columbia,Volleyball,12.0,425.0
2005-06,Girls,Florida,Tennis,440.0,4597.0
2005-06,Girls,Florida,Track and Field Outdoor,474.0,11414.0
2005-06,Girls,Florida,Volleyball,546.0,12358.0
2005-06,Girls,Georgia,Track and Field Outdoor,366.0,8521.0
2005-06,Girls,Georgia,Volleyball,243.0,5841.0
2005-06,Girls,Hawaii,Tennis,63.0,1009.0
2005-06,Girls,Hawaii,Track and Field Outdoor,62.0,1290.0
2005-06,Girls,Hawaii,Volleyball,68.0,1660.0
2005-06,Girls,Idaho,Tennis,,8425.0
2005-06,Girls,Illinois,Track and Field Outdoor,586.0,17686.0
2005-06,Girls,Indiana,Track and Field Outdoor,,903.0
2005-06,Girls,Maine,Track and Field Outdoor,106.0,
2005-06,Girls,Maine,Track and Field Indoor,,4093.0
2005-06,Girls,Massachusetts,Track and Field Outdoor,274.0,
2005-06,Girls,Massachusetts,Tennis,,4379.0
2005-06,Girls,Massachusetts,Track and Field Indoor,208.0,7659.0
2005-06,Girls,Massachusetts,Volleyball,230.0,6464.0
2005-06,Girls,Michigan,Tennis,,9671.0
2005-06,Girls,Michigan,Track and Field Indoor,,545.0
2005-06,Girls,Michigan,Track and Field Outdoor,646.0,18685.0
2005-06,Girls,Minnesota,Tennis,5089.0,5089.0
2005-06,Girls,Minnesota,Track and Field Outdoor,437.0,13036.0
2005-06,Girls,Minnesota,Volleyball,448.0,14213.0
2005-06,Girls,Mississippi,Volleyball,802.0,
2005-06,Girls,Missouri,Track and Field Outdoor,,67.0
2005-06,Girls,Missouri,Volleyball,423.0,10881.0
2005-06,Girls,Montana,Track and Field Outdoor,,678.0
2005-06,Girls,New Mexico,Track and Field Outdoor,144.0,560.0
2005-06,Girls,Oklahoma,Track and Field Outdoor,306.0,
2005-06,Girls,Oregon,Track and Field Outdoor,264.0,6378.0
2005-06,Girls,Pennsylvania,Track and Field Outdoor,567.0,18144.0
2005-06,Girls,Rhode Island,Track and Field Outdoor,,1475.0
2005-06,Girls,South Carolina,Track and Field Outdoor,488.0,
2005-06,Girls,South Dakota,Track and Field Outdoor,166.0,2601.0
2005-06,Girls,Texas,Track and Field Outdoor,1234.0,913.0
2005-06,Girls,Washington,Track and Field Outdoor,,233.0
2005-06,Girls,Washington,Volleyball,473.0,16.0
2005-06,Girls,Wisconsin,Track and Field Outdoor,423.0,10860.0
2005-06,Girls,Wyoming,Track and Field Indoor,,259.0
2005-06,Girls,Wyoming,Track and Field Outdoor,68.0,1239.0
2005-06,Girls,Wyoming,Volleyball,68.0,4628.0
