survey_year,gender,state,sport,schools,participants
2015-16,Boys,Alabama,Baseball,391.0,12313
2015-16,Boys,Alabama,Basketball,406.0,13371
2015-16,Boys,Alabama,Bowling,60.0,569
2015-16,Boys,Alaska,Baseball,30.0,713
2015-16,Boys,Alaska,Basketball,271.0,2095
2015-16,Boys,Alaska,Bowling,7.0,71
2015-16,Boys,Alaska,Competitive Spirit Squads,17.0,33
2015-16,Boys,Arizona,Baseball,239.0,7703
2015-16,Boys,Arizona,Basketball,256.0,8070
2015-16,Boys,Arizona,Competitive Spirit Squads,74.0,299
2015-16,Boys,Arkansas,Baseball,251.0,5536
2015-16,Boys,Arkansas,Basketball,274.0,5587
2015-16,Boys,Arkansas,Bowling,64.0,710
2015-16,Boys,Arkansas,Competitive Spirit Squads,15.0,51
2015-16,Boys,California,Baseball,1277.0,44163
2015-16,Boys,California,Basketball,1455.0,45677
2015-16,Boys,California,Bowling,7.0,54
2015-16,Boys,California,Competitive Spirit Squads,138.0,561
2015-16,Boys,Colorado,Baseball,286.0,8306
2015-16,Boys,Colorado,Basketball,336.0,9058
2015-16,Boys,Colorado,Competitive Spirit Squads,207.0,205
2015-16,Boys,Connecticut,Baseball,181.0,6092
2015-16,Boys,Connecticut,Basketball,187.0,5491
2015-16,Boys,Connecticut,Competitive Spirit Squads,41.0,173
2015-16,Boys,Delaware,Baseball,52.0,1413
2015-16,Boys,Delaware,Basketball,57.0,1528
2015-16,Boys,Delaware,Competitive Spirit Squads,,88
2015-16,Boys,District of Columbia,Baseball,29.0,643
2015-16,Boys,District of Columbia,Basketball,40.0,994
2015-16,Boys,District of Columbia,Bowling,1.0,7
2015-16,Boys,Florida,Baseball,601.0,19126
2015-16,Boys,Florida,Basketball,670.0,17499
2015-16,Boys,Florida,Bowling,176.0,1386
2015-16,Boys,Florida,Competitive Spirit Squads,,298
2015-16,Boys,Georgia,Baseball,428.0,12773
2015-16,Boys,Georgia,Basketball,441.0,12872
2015-16,Boys,Georgia,Competitive Spirit Squads,45.0,129
2015-16,Boys,Hawaii,Baseball,62.0,1774
2015-16,Boys,Hawaii,Basketball,65.0,1719
2015-16,Boys,Hawaii,Bowling,49.0,448
2015-16,Boys,Hawaii,Competitive Spirit Squads,19.0,48
2015-16,Boys,Idaho,Baseball,98.0,2441
2015-16,Boys,Idaho,Basketball,149.0,3805
2015-16,Boys,Idaho,Competitive Spirit Squads,44.0,120
2015-16,Boys,Illinois,Baseball,653.0,22806
2015-16,Boys,Illinois,Basketball,735.0,24524
2015-16,Boys,Illinois,Bowling,194.0,2744
2015-16,Boys,Indiana,Baseball,384.0,11078
2015-16,Boys,Indiana,Basketball,398.0,10903
2015-16,Boys,Iowa,Baseball,365.0,11010
2015-16,Boys,Iowa,Basketball,362.0,11249
2015-16,Boys,Iowa,Bowling,96.0,1834
2015-16,Boys,Kansas,Baseball,239.0,6434
2015-16,Boys,Kansas,Basketball,352.0,8982
2015-16,Boys,Kansas,Bowling,76.0,1031
2015-16,Boys,Kentucky,Baseball,259.0,7499
2015-16,Boys,Kentucky,Basketball,270.0,7144
2015-16,Boys,Kentucky,Bowling,99.0,1128
2015-16,Boys,Kentucky,Competitive Spirit Squads,,171
2015-16,Boys,Louisiana,Baseball,345.0,8551
2015-16,Boys,Louisiana,Basketball,374.0,7987
2015-16,Boys,Louisiana,Bowling,84.0,608
2015-16,Boys,Maine,Baseball,131.0,3304
2015-16,Boys,Maine,Basketball,137.0,3550
2015-16,Boys,Maine,Bowling,5.0,36
2015-16,Boys,Maine,Competitive Spirit Squads,26.0,37
2015-16,Boys,Maryland,Baseball,195.0,5454
2015-16,Boys,Maryland,Basketball,195.0,5591
2015-16,Boys,Maryland,Bowling,4.0,29
2015-16,Boys,Massachusetts,Baseball,355.0,12720
2015-16,Boys,Massachusetts,Basketball,367.0,12599
2015-16,Boys,Michigan,Baseball,635.0,18173
2015-16,Boys,Michigan,Basketball,728.0,21509
2015-16,Boys,Michigan,Bowling,369.0,3853
2015-16,Boys,Minnesota,Baseball,431.0,13515
2015-16,Boys,Minnesota,Basketball,470.0,13542
2015-16,Boys,Mississippi,Baseball,250.0,7675
2015-16,Boys,Mississippi,Basketball,250.0,8625
2015-16,Boys,Mississippi,Bowling,58.0,590
2015-16,Boys,Mississippi,Competitive Spirit Squads,20.0,125
2015-16,Boys,Missouri,Baseball,592.0,14526
2015-16,Boys,Missouri,Basketball,560.0,13997
2015-16,Boys,Missouri,Bowling,7.0,59
2015-16,Boys,Montana,Basketball,174.0,3382
2015-16,Boys,Nebraska,Baseball,77.0,2509
2015-16,Boys,Nebraska,Basketball,300.0,7276
2015-16,Boys,Nevada,Baseball,92.0,2613
2015-16,Boys,Nevada,Basketball,102.0,3044
2015-16,Boys,Nevada,Bowling,36.0,293
2015-16,Boys,New Hampshire,Baseball,85.0,2434
2015-16,Boys,New Hampshire,Basketball,86.0,2400
2015-16,Boys,New Hampshire,Bowling,13.0,113
2015-16,Boys,New Hampshire,Competitive Spirit Squads,93.0,25
2015-16,Boys,New Jersey,Baseball,388.0,16101
2015-16,Boys,New Jersey,Basketball,405.0,14639
2015-16,Boys,New Jersey,Bowling,227.0,2864
2015-16,Boys,New Mexico,Baseball,108.0,3441
2015-16,Boys,New Mexico,Basketball,154.0,4309
2015-16,Boys,New Mexico,Bowling,24.0,220
2015-16,Boys,New Mexico,Competitive Spirit Squads,74.0,168
2015-16,Boys,New York,Baseball,725.0,20437
2015-16,Boys,New York,Basketball,758.0,20087
2015-16,Boys,New York,Bowling,366.0,4002
2015-16,Boys,New York,Competitive Spirit Squads,,68
2015-16,Boys,North Carolina,Baseball,392.0,11155
2015-16,Boys,North Carolina,Basketball,401.0,10876
2015-16,Boys,North Dakota,Baseball,121.0,1577
2015-16,Boys,North Dakota,Basketball,166.0,3061
2015-16,Boys,Ohio,Baseball,759.0,22650
2015-16,Boys,Ohio,Basketball,791.0,23609
2015-16,Boys,Ohio,Bowling,360.0,4035
2015-16,Boys,Ohio,Competitive Spirit Squads,24.0,314
2015-16,Boys,Oklahoma,Baseball,438.0,9883
2015-16,Boys,Oklahoma,Basketball,473.0,10478
2015-16,Boys,Oklahoma,Competitive Spirit Squads,71.0,101
2015-16,Boys,Oregon,Baseball,223.0,5928
