survey_year,year,boys,girls,total
1995-96,1972-73,1972.0,3770621,
1995-96,1973-74,,1973,
1995-96,1975-76,1975.0,4109021,1975.0
1995-96,1977-78,1977.0,4367442,1977.0
1995-96,1978-79,3709512.0,1978,1854400.0
1995-96,1979-80,1979.0,3517829,1979.0
1995-96,1980-81,3503124.0,1980,1853789.0
1995-96,1981-82,1981.0,3409081,1810671.0
1995-96,1982-83,3355558.0,1982,1779972.0
1995-96,1984-85,3354284.0,1984,1757884.0
1995-96,1985-86,1985.0,3344275,1807121.0
1995-96,1986-87,1986.0,3364082,1836356.0
1995-96,1987-88,1987.0,3425777,1849684.0
1995-96,1988-89,1988.0,3416844,1839352.0
1995-96,1989-90,1989.0,3398192,1989.0
1995-96,1990-94,1990.0,3406355,1990.0
1995-96,1991-92,1991.0,3429853,1991.0
1995-96,1992-93,1992.0,3416389,1992.0
1995-96,1993-94,1993.0,3472967,
1995-96,1994-95,1994.0,3536359,2240461.0
1995-96,1995-96,,1995,
