survey_year,year,boys,girls,total
1996-97,1972-73,1972.0,3770621,1972.0
1996-97,1973-74,1973.0,4070125,1973.0
1996-97,1975-76,1975.0,4109021,1975.0
1996-97,1977-78,1977.0,4367442,1977.0
1996-97,1978-79,1978.0,3709512,1978.0
1996-97,1979-80,1979.0,3517829,1979.0
1996-97,1980-81,1980.0,3503124,1980.0
1996-97,1981-82,1981.0,3409081,1981.0
1996-97,1982-83,1982.0,3355558,1982.0
1996-97,1983-84,1983.0,3303599,1983.0
1996-97,1984-85,1984.0,3354284,1984.0
1996-97,1985-86,1985.0,3344275,1985.0
1996-97,1986-87,1986.0,3364082,1986.0
1996-97,1987-88,1987.0,3425777,1987.0
1996-97,1988-89,1988.0,3416844,1988.0
1996-97,1989-90,1989.0,3398192,1989.0
1996-97,1990-91,1990.0,3406355,1990.0
1996-97,1991-92,3429853.0,1991,1940801.0
1996-97,1992-93,3416389.0,1992,1997489.0
1996-97,1993-94,3472967.0,1993,2130315.0
1996-97,1994-95,1994.0,3536359,1994.0
1996-97,1995-96,1995.0,3634052,1995.0
1996-97,1996-97,,1996,
