survey_year,gender,state,sport,schools,participants
2001-02,Girls,Alabama,Basketball,394.0,5291.0
2001-02,Girls,Alabama,Cross Country,101.0,736.0
2001-02,Girls,Alaska,Basketball,124.0,1832.0
2001-02,Girls,Alaska,Competitive Spirit Squads,29.0,583.0
2001-02,Girls,Alaska,Cross Country,84.0,727.0
2001-02,Girls,Arizona,Basketball,200.0,6091.0
2001-02,Girls,Arizona,Competitive Spirit Squads,219.0,4895.0
2001-02,Girls,Arizona,Cross Country,154.0,1711.0
2001-02,Girls,Arkansas,Basketball,231.0,4996.0
2001-02,Girls,Arkansas,Competitive Spirit Squads,60.0,1758.0
2001-02,Girls,Arkansas,Cross Country,46.0,671.0
2001-02,Girls,California,Basketball,1155.0,33834.0
2001-02,Girls,California,Competitive Spirit Squads,462.0,13372.0
2001-02,Girls,California,Cross Country,948.0,16060.0
2001-02,Girls,California,Field Hockey,76.0,
2001-02,Girls,Colorado,Basketball,300.0,7278.0
2001-02,Girls,Colorado,Competitive Spirit Squads,134.0,2503.0
2001-02,Girls,Colorado,Cross Country,184.0,2336.0
2001-02,Girls,Colorado,Field Hockey,11.0,483.0
2001-02,Girls,Connecticut,Basketball,174.0,4225.0
2001-02,Girls,Connecticut,Cross Country,158.0,2181.0
2001-02,Girls,Connecticut,Field Hockey,72.0,3109.0
2001-02,Girls,Delaware,Basketball,43.0,1095.0
2001-02,Girls,Delaware,Competitive Spirit Squads,30.0,888.0
2001-02,Girls,Delaware,Cross Country,38.0,534.0
2001-02,Girls,Delaware,Field Hockey,44.0,1553.0
2001-02,Girls,District of Columbia,Basketball,18.0,203.0
2001-02,Girls,District of Columbia,Competitive Spirit Squads,12.0,250.0
2001-02,Girls,District of Columbia,Cross Country,14.0,150.0
2001-02,Girls,Florida,Basketball,540.0,
2001-02,Girls,Florida,Cross Country,432.0,5649.0
2001-02,Girls,Georgia,Basketball,365.0,9258.0
2001-02,Girls,Georgia,Competitive Spirit Squads,211.0,4305.0
2001-02,Girls,Georgia,Cross Country,291.0,3690.0
2001-02,Girls,Hawaii,Basketball,64.0,1628.0
2001-02,Girls,Hawaii,Competitive Spirit Squads,47.0,730.0
2001-02,Girls,Hawaii,Cross Country,57.0,679.0
2001-02,Girls,Illinois,Basketball,666.0,
2001-02,Girls,Illinois,Cross Country,462.0,6805.0
2001-02,Girls,Indiana,Basketball,379.0,
2001-02,Girls,Indiana,Cross Country,351.0,3723.0
2001-02,Girls,Indiana,Competitive Spirit Squads,57.0,1622.0
2001-02,Girls,Kansas,Basketball,366.0,8162.0
2001-02,Girls,Kansas,Cross Country,272.0,2394.0
2001-02,Girls,Kentucky,Basketball,280.0,
2001-02,Girls,Kentucky,Competitive Spirit Squads,279.0,5444.0
2001-02,Girls,Kentucky,Cross Country,245.0,2427.0
2001-02,Girls,Louisiana,Basketball,377.0,9401.0
2001-02,Girls,Louisiana,Cross Country,205.0,1225.0
2001-02,Girls,Louisiana,Competitive Spirit Squads,92.0,1867.0
2001-02,Girls,Louisiana,Field Hockey,82.0,
2001-02,Girls,Maryland,Basketball,177.0,4494.0
2001-02,Girls,Maryland,Cross Country,163.0,2085.0
2001-02,Girls,Maryland,Field Hockey,166.0,
