gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,-3000.0,21383670.64120197,-63155441.57057971,-60849970.07698761,-18091194.322153345,8018619970347108.0
-500.0,-2000.0,21433485.02865032,-63162701.17404831,-62922823.45788944,-16894665.411012847,8234238250864920.0
-500.0,-1000.0,21483299.41609867,-63169960.77751692,-64995676.838791266,-15698136.499872353,8461313441934238.0
-500.0,0.0,21533113.803547017,-63177220.38098552,-67068530.219693094,-14501607.588731859,8699845543555063.0
-500.0,1000.0,21582928.190995365,-63184479.984454125,-69141383.60059492,-13305078.677591365,8949834555727397.0
-500.0,2000.0,21632742.578443713,-63191739.58792273,-71214236.98149675,-12108549.766450869,9211280478451238.0
-500.0,3000.0,21682556.965892065,-63198999.191391334,-73287090.36239858,-10912020.855310375,9484183311726586.0
-500.0,4000.0,21732371.353340413,-63206258.79485994,-75359943.74330041,-9715491.944169879,9768543055553442.0
-500.0,5000.0,21782185.74078876,-63213518.39832854,-77432797.12420224,-8518963.033029385,1.0064359709931806e+16
-500.0,6000.0,21832000.12823711,-63220778.00179715,-79505650.50510406,-7322434.12188889,1.0371633274861674e+16
-500.0,7000.0,21881814.51568546,-63228037.60526575,-81578503.88600591,-6125905.210748396,1.0690363750343054e+16
-500.0,8000.0,21931628.90313381,-63235297.20873436,-83651357.26690774,-4929376.299607901,1.1020551136375942e+16
-500.0,9000.0,21981443.290582158,-63242556.81220297,-85724210.64780957,-3732847.388467407,1.1362195432960336e+16
-500.0,10000.0,22031257.678030506,-63249816.41567157,-87797064.0287114,-2536318.477326911,1.1715296640096234e+16
-500.0,11000.0,22081072.065478854,-63257076.01914018,-89869917.40961322,-1339789.566186417,1.2079854757783642e+16
-500.0,12000.0,22130886.452927206,-63264335.62260878,-91942770.79051505,-143260.65504592098,1.2455869786022558e+16
-500.0,13000.0,22180700.840375554,-63271595.226077385,-94015624.17141688,1053268.256094573,1.2842232350793684e+16
-500.0,14000.0,22230515.227823902,-63278854.82954599,-96088477.5523187,2249797.167235067,1.3237208986861212e+16
-500.0,15000.0,22280329.61527225,-63286114.433014594,-98161330.93322054,3446326.078375563,1.3640779170609856e+16
-500.0,16000.0,22330144.0027206,-63293374.0364832,-100234184.31412236,4642854.989516057,1.405294290203962e+16
-500.0,17000.0,22379958.39016895,-63300633.6399518,-102307037.69502419,5839383.900656551,1.44737001811505e+16
-500.0,18000.0,22429772.777617298,-63307893.24342041,-104379891.07592604,7035912.811797045,1.49030510079425e+16
-500.0,19000.0,22479587.165065646,-63315152.84688901,-106452744.45682785,8232441.722937543,1.534099538241561e+16
-500.0,20000.0,22529401.552513994,-63322412.450357616,-108525597.83772969,9428970.634078037,1.5787533304569844e+16
