CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
11102,2,8,1995,16.91145,20658,.049674,172.7953,66.3189,1.145959,2545.595,0,33.38792,.70969,2,1,10,98
11103,2,8,1995,20.94734,2099,.0258528,165.748,64.17323,1.063659,3171.806,0,39.20243,.70969,4,1,10,134
11104,2,8,1995,21.11049,3268,.0493016,185.0394,69.68504,1.289448,2819.383,0,36.18686,.70969,4,1,10,155
11105,2,8,1995,15.18095,31116,.0402562,161.4173,63.77953,1.029512,2235.683,0,52.26991,.70969,1,1,10,31
11301,2,9,1995,15.57738,26081,.0353596,168.5039,66.53543,1.121148,2290.749,0,45.23357,.70969,2,1,11,142
11501,1,4,1995,22.24629,1484,.0377399,170.8661,66.92913,1.143592,2676.211,0,39.86688,.70969,3,1,12,72
11502,1,4,1995,16.60772,15279,.0308071,157.874,66.92913,1.056637,2466.96,0,37.33565,.70969,2,1,12,73
11504,1,4,1995,31.20596,38,.0457153,184.252,71.65354,1.320231,3171.806,0,31.78575,.70969,4,1,12,94
11505,1,4,1995,13.99858,37738,.0291245,134.6457,59.44882,.8004526,1751.101,0,50.04566,.70969,1,1,12,181
11601,2,10,1995,23.58695,1476,.0682845,160.6299,66.53543,1.068758,2709.251,0,32.22118,.70969,2,1,13,12
11602,2,10,1995,24.94048,572,.0459896,185.0394,68.89764,1.274878,2544.053,0,38.55977,.70969,3,1,13,18
11603,2,10,1995,28.13319,135,.0519192,166.1417,66.92913,1.111972,2561.674,0,33.12881,.70969,4,1,13,112
11604,2,10,1995,30.84162,52,.0554678,179.5276,66.92913,1.201562,2632.159,0,38.55977,.70969,4,1,13,178
11701,1,11,1995,19.15974,1467,.0473402,175.1969,66.53543,1.16568,2577.093,0,35.63857,.70969,3,1,14,4
11702,1,11,1995,51.85363,1,.0482979,176.378,67.71654,1.194371,3105.727,0,36.18686,.70969,3,1,14,55
11703,1,11,1995,59.68713,1,.0482568,187.6299,69.51968,1.304397,3108.37,0,37.08605,.70969,4,1,14,75
11704,1,11,1995,56.23029,1,.0670336,186.6142,68.50394,1.278381,3281.938,0,28.68471,.70969,4,1,14,76
11706,1,11,1995,60.74441,1,.07264,201.1811,74.01575,1.489057,4405.286,0,23.52146,.70969,4,1,14,133
11801,2,12,1995,27.14737,233,.0546988,170.8661,66.53543,1.136865,2742.291,0,39.86688,.70969,4,1,15,77
11802,2,12,1995,27.68667,197,.053622,181.8898,68.11024,1.238855,2797.357,0,34.59038,.70969,3,1,15,87
11803,2,12,1995,24.88928,601,.0484996,177.5591,66.53543,1.181397,2742.291,0,33.12881,.70969,5,1,15,156
11901,2,13,1995,25.56053,412,.0717787,177.9528,68.11024,1.21204,2786.344,0,34.08907,.70969,4,1,16,5
11902,2,13,1995,14.03841,42180,.0322194,145.6693,62.59843,.9118669,1707.048,0,49.00304,.70969,1,1,16,108
11903,2,13,1995,20.84715,2825,.0401209,173.2283,66.92913,1.159402,2367.841,0,45.23357,.70969,3,1,16,127
11904,2,13,1995,24.67336,901,.0410762,156.6929,65.74803,1.030225,2312.775,0,44.38011,.70969,2,1,16,158
11905,2,13,1995,35.87418,8,.0476105,187.7953,69.68504,1.308652,2940.529,0,32.66869,.70969,4,1,16,106
11906,2,13,1995,11.286,98457,.0381623,162.2047,66.53543,1.079236,2279.736,0,45.23357,.70969,2,1,16,41
12001,1,6,1995,18.10908,9887,.0432381,159.4488,66.53543,1.0609,2312.775,0,39.20243,.70969,2,1,17,45
12002,1,6,1995,23.35632,547,.0401615,176.7717,66.53543,1.176158,2863.436,0,38.55977,.70969,4,1,17,56
12003,1,6,1995,28.20771,292,.0320471,146.4567,62.99213,.9225619,1872.247,0,45.23357,.70969,1,1,17,68
12004,1,6,1995,34.19706,16,.0424357,188.189,70.07874,1.318805,3204.846,0,35.63857,.70969,4,1,17,117
12005,1,6,1995,24.50728,683,.0486403,174.9134,66.92913,1.17068,2796.035,0,39.62443,.70969,3,1,17,172
12006,1,6,1995,11.92085,38180,.0387299,154.3307,71.25984,1.099758,2323.789,0,47.04292,.70969,1,1,17,164
12101,1,14,1995,20.21512,9500,.0557055,140.1575,63.38583,.8883998,1795.154,0,37.93784,.70969,1,1,18,2
12102,1,14,1995,7.191175,492517,.0402959,145.6693,61.41732,.8946618,1861.234,0,45.23357,.70969,1,1,18,6
12103,1,14,1995,18.17488,7524,.0333824,157.0866,66.53543,1.045182,2246.696,0,47.04292,.70969,2,1,18,11
12104,1,14,1995,19.75686,4334,.0492,173.622,66.92913,1.162037,2500,0,39.86688,.70969,3,1,18,13
12105,1,14,1995,30.37161,55,.0458586,187.4016,70.86614,1.328043,3270.925,0,33.12881,.70969,4,1,18,16
12106,1,14,1995,26.83904,206,.0352315,175.1969,72.04724,1.262245,3491.189,0,32.66869,.70969,5,1,18,21
12107,1,14,1995,26.0154,391,.0398808,179.1339,69.29134,1.241243,2808.37,0,43.55825,.70969,3,1,18,14
12402,1,15,1995,47.01397,1,.042078,163.7795,66.92913,1.096162,2257.709,0,39.20243,.70969,2,1,19,3
12403,1,15,1995,9.968872,31833,.0371455,177.9528,67.71654,1.205034,2422.907,0,52.26991,.70969,3,1,19,8
12404,1,15,1995,16.85791,21084,.0426892,146.063,63.77953,.9315828,1874.009,0,49.00304,.70969,1,1,19,63
12405,1,15,1995,28.77767,91,.0378333,174.0157,70.47244,1.226331,2907.489,0,31.36194,.70969,5,1,19,79
12406,1,15,1995,43.84047,1,.0347823,177.1654,68.89764,1.220627,2731.278,0,37.33565,.70969,3,1,19,96
12407,1,15,1995,30.53173,50,.045078,186.2205,71.25984,1.327004,3105.727,0,33.60209,.70969,4,1,19,138
12408,1,15,1995,8.784729,300672,.0316076,135.0394,64.17323,.8665912,1740.088,0,46.12051,.70969,1,1,19,169
12409,1,15,1995,14.62006,2169,.0387299,162.2047,66.53543,1.079236,2323.789,0,45.23357,.70969,2,1,19,107
12502,1,16,1995,13.46662,61549,.0396627,138.5827,61.41732,.8511377,1890.947,0,46.25747,.70969,1,1,3,144
12503,1,16,1995,17.88816,11376,.0454,166.1417,66.14173,1.09889,2268.722,0,42.76629,.70969,2,1,3,145
12506,1,16,1995,20.5541,2013,.0438093,170.7205,66.32677,1.132334,2351.101,0,44.29319,.70969,3,1,3,147
12507,1,16,1995,22.56073,1351,.0466463,182.6772,67.32284,1.229835,2808.37,0,34.08907,.70969,3,1,3,149
12508,1,16,1995,31.48231,16,.0490811,184.6457,68.11024,1.257626,2852.423,0,35.63857,.70969,4,1,3,151
12509,1,16,1995,34.47473,7,.0443343,175.9843,76.77165,1.35106,2345.815,0,34.59038,.70969,4,1,3,110
