year,state,basketball,cross_country,soccer,track_field
1994-95,Texas,62273.0,30156.0,14495.0,53884.0
1994-95,Utah,2767.0,1111.0,2083.0,3296.0
1994-95,Vermont,1254.0,245.0,1750.0,822.0
1994-95,Virginia,6079.0,2319.0,3368.0,9395.0
1994-95,Washington,10476.0,3676.0,6130.0,8073.0
1994-95,West Virginia,2660.0,454.0,311.0,2302.0
1994-95,Wisconsin,12308.0,3561.0,4455.0,9206.0
1994-95,Wyoming,1729.0,279.0,583.0,1526.0
1995-96,Alabama,5573.0,473.0,1426.0,4411.0
1995-96,Alaska,2083.0,685.0,466.0,770.0
1995-96,Arizona,5330.0,1386.0,72.0,4410.0
1995-96,Arkansas,7782.0,537.0,,4591.0
1995-96,California,27856.0,12193.0,24353.0,27325.0
1995-96,Colorado,7073.0,1837.0,3888.0,5514.0
1995-96,Connecticut,3994.0,1759.0,4279.0,7549.0
1995-96,Delaware,1019.0,398.0,33.0,1339.0
1995-96,District of Columbia,162.0,80.0,19.0,256.0
1995-96,Florida,9076.0,4020.0,8128.0,378.0
1995-96,Georgia,8951.0,2694.0,4375.0,867221.0
1995-96,Hawaii,1382.0,346.0,1106.0,716.0
1995-96,Idaho,4001.0,803.0,360.0,2726.0
1995-96,Illinois,18786.0,6000.0,9964.0,17741.0
1995-96,Indiana,11812.0,3927.0,3413.0,367.0
1995-96,Iowa,12221.0,3129.0,2123.0,8824.0
1995-96,Kansas,8574.0,1930.0,38.0,6539.0
1995-96,Kentucky,5405.0,1848.0,2593.0,3819.0
1995-96,Louisiana,9400.0,1224.0,570.0,4857.0
1995-96,Maine,4715.0,865.0,93735.0,2588.0
1995-96,Maryland,4275.0,1589.0,3970.0,6433.0
1995-96,Massachusetts,9676.0,3440.0,9666.0,9580.0
1995-96,Michigan,20239.0,5926.0,8347.0,17307.0
1995-96,Minnesota,8238.0,3018.0,3203.0,6956.0
1995-96,Mississippi,4860.0,910.0,1200.0,3889.0
1995-96,Missouri,12677.0,3336.0,4266.0,11032.0
1995-96,Montana,4168.0,829.0,357.0,3013.0
1995-96,Nebraska,7784.0,1317.0,1549.0,6591.0
1995-96,Nevada,1879.0,460.0,934.0,1656.0
1995-96,New Hampshire,2316.0,654.0,2051.0,2300.0
1995-96,New Jersey,9657.0,3972.0,287.0,17443.0
1995-96,New Mexico,3073.0,978.0,1190.0,2596.0
1995-96,New York,16154.0,4689.0,19664.0,21153.0
1995-96,North Carolina,7184.0,2718.0,4723.0,9395.0
1995-96,North Dakota,3572.0,316.0,579.0,2016.0
1995-96,Ohio,18212.0,6153.0,274.0,21142.0
1995-96,Oklahoma,9805.0,4242.0,1340.0,3677.0
1995-96,Oregon,7728.0,2940.0,3450.0,8280.0
1995-96,Pennsylvania,18750.0,4460.0,10710.0,18320.0
1995-96,Rhode Island,922.0,583.0,38.0,461911.0
1995-96,South Carolina,6129.0,1187.0,1564.0,185.0
1995-96,South Dakota,3599.0,559.0,,2826.0
1995-96,Tennessee,6179.0,2089.0,92958.0,4454.0
1995-96,Texas,67030.0,29354.0,14544.0,58307.0
1995-96,Utah,2770.0,1072.0,2124.0,3071.0
1995-96,Vermont,1254.0,245.0,1750.0,822.0
1995-96,Virginia,6308.0,2429.0,3894.0,9815.0
1995-96,Washington,10032.0,3065.0,6678.0,339.0
1995-96,West Virginia,2836.0,550.0,587.0,2374.0
1995-96,Wisconsin,12630.0,3693.0,4107.0,9305.0
1995-96,Wyoming,1738.0,320.0,593.0,1630.0
1996-97,Alabama,5543.0,435.0,1501.0,4437.0
1996-97,Alaska,1509.0,743.0,498.0,900.0
1996-97,Arizona,2236.0,1136.0,1969.0,3885.0
1996-97,Arkansas,6635.0,582.0,,4494.0
1996-97,California,27856.0,12193.0,24353.0,27325.0
1996-97,Colorado,7276.0,1985.0,4397.0,5955.0
1996-97,Connecticut,4000.0,1934.0,4505.0,7893.0
1996-97,Delaware,1000.0,473.0,916.0,1448.0
1996-97,District of Columbia,169.0,134.0,28.0,332.0
1996-97,Florida,8141.0,4295.0,8383.0,9808.0
1996-97,Georgia,8916.0,2983.0,5472.0,7572.0
1996-97,Hawaii,1400.0,805.0,1313.0,1286.0
1996-97,Idaho,4124.0,954.0,181.0,2727.0
1996-97,Illinois,19508.0,6399.0,10544.0,16834.0
1996-97,Indiana,11873.0,3079.0,3928.0,9875.0
1996-97,Iowa,12342.0,3184.0,2144.0,10637.0
1996-97,Kansas,7216.0,2107.0,1530.0,6577.0
1996-97,Kentucky,5525.0,2075.0,3191.0,4197.0
1996-97,Louisiana,9400.0,1224.0,570.0,4857.0
1996-97,Maine,3468.0,926.0,3573.0,3251.0
1996-97,Maryland,4480.0,1941.0,4229.0,7011.0
1996-97,Massachusetts,9783.0,3547.0,10515.0,15089.0
1996-97,Michigan,20284.0,6344.0,9299.0,18163.0
1996-97,Minnesota,11979.0,3481.0,4276.0,11576.0
1996-97,Mississippi,5500.0,950.0,1225.0,4079.0
1996-97,Missouri,13103.0,3466.0,4565.0,10952.0
1996-97,Montana,4565.0,815.0,423.0,3072.0
1996-97,Nebraska,7571.0,1392.0,1644.0,6774.0
1996-97,Nevada,1922.0,481.0,1013.0,2013.0
1996-97,New Hampshire,2338.0,731.0,2220.0,1683.0
1996-97,New Jersey,9705.0,4300.0,10892.0,17860.0
1996-97,New Mexico,2497.0,802.0,1092.0,1939.0
1996-97,New York,17039.0,5401.0,21483.0,16419.0
1996-97,North Carolina,7476.0,2710.0,4619.0,8380.0
1996-97,North Dakota,3546.0,325.0,517.0,1966.0
1996-97,Ohio,19162.0,6705.0,9144.0,22740.0
1996-97,Oklahoma,9805.0,1260.0,1356.0,3756.0
1996-97,Oregon,6463.0,1900.0,3917.0,5606.0
1996-97,Pennsylvania,18780.0,4470.0,,18348.0
1996-97,Rhode Island,947.0,615.0,1207.0,2708.0
1996-97,South Carolina,5239.0,1349.0,1997.0,5138.0
1996-97,South Dakota,3862.0,675.0,,3077.0
1996-97,Tennessee,6319.0,2200.0,3404.0,4578.0
1996-97,Texas,68444.0,29620.0,15002.0,62988.0
1996-97,Utah,2900.0,1180.0,2210.0,3268.0
1996-97,Vermont,1443.0,359.0,1836.0,952.0
