RANK,TEAM,W,L,WIN%,CONF,DIV,HOME,ROAD,OT,LAST 10,STREAK,YEAR
9,CHICAGO SKY,12,22,.353,6-10,0-0,4-13,8-9,1-2,4-6,L 4,2017
10,ATLANTA DREAM,12,22,.353,5-11,0-0,9-8,3-14,3-1,2-8,L 2,2017
11,INDIANA FEVER,9,25,.265,4-12,0-0,6-11,3-14,0-2,1-9,L 8,2017
12,SAN ANTONIO STARS,8,26,.235,1-15,0-0,6-11,2-15,1-1,5-5,W 1,2017
1,SEATTLE STORM,26,8,.765,11-5,0-0,13-4,13-4,1-1,8-2,W 3,2018
2,ATLANTA DREAM,23,11,.676,12-4,0-0,13-4,10-7,0-0,8-2,W 1,2018
3,WASHINGTON MYSTICS,22,12,.647,12-4,0-0,12-5,10-7,0-0,8-2,L 1,2018
4,CONNECTICUT SUN,21,13,.618,9-7,0-0,13-4,8-9,0-0,9-1,W 4,2018
5,PHOENIX MERCURY,20,14,.588,8-8,0-0,9-8,11-6,0-0,5-5,W 4,2018
6,LOS ANGELES SPARKS,19,15,.559,9-7,0-0,11-6,8-9,1-0,5-5,L 2,2018
7,MINNESOTA LYNX,18,16,.529,9-7,0-0,9-8,9-8,0-0,4-6,W 1,2018
8,DALLAS WINGS,15,19,.441,7-9,0-0,10-7,5-12,0-0,1-9,L 1,2018
9,LAS VEGAS ACES,14,20,.412,4-12,0-0,8-9,6-11,1-0,3-7,L 2,2018
10,CHICAGO SKY,13,21,.382,6-10,0-0,7-10,6-11,1-2,5-5,L 1,2018
11,NEW YORK LIBERTY,7,27,.206,6-10,0-0,4-13,3-14,2-0,0-10,L 13,2018
12,INDIANA FEVER,6,28,.176,3-13,0-0,2-15,4-13,0-3,3-7,W 1,2018
1,WASHINGTON MYSTICS,26,8,.765,13-3,0-0,14-3,12-5,1-0,9-1,W 6,2019
2,CONNECTICUT SUN,23,11,.676,11-5,0-0,15-2,8-9,0-1,7-3,L 2,2019
3,LOS ANGELES SPARKS,22,12,.647,10-6,0-0,15-2,7-10,1-0,7-3,W 3,2019
4,LAS VEGAS ACES,21,13,.618,11-5,0-0,13-4,8-9,2-0,6-4,W 1,2019
5,CHICAGO SKY,20,14,.588,11-5,0-0,12-5,8-9,1-0,6-4,L 1,2019
6,SEATTLE STORM,18,16,.529,10-6,0-0,11-6,7-10,0-0,5-5,W 1,2019
7,MINNESOTA LYNX,18,16,.529,7-9,0-0,11-6,7-10,0-0,6-4,L 1,2019
8,PHOENIX MERCURY,15,19,.441,5-11,0-0,9-8,6-11,0-1,4-6,L 4,2019
9,INDIANA FEVER,13,21,.382,7-9,0-0,7-10,6-11,0-2,5-5,W 2,2019
10,DALLAS WINGS,10,24,.294,5-11,0-0,8-9,2-15,0-0,3-7,L 4,2019
11,NEW YORK LIBERTY,10,24,.294,3-13,0-0,4-13,6-11,0-0,2-8,W 1,2019
12,ATLANTA DREAM,8,26,.235,3-13,0-0,5-12,3-14,0-1,3-7,L 1,2019
1,LAS VEGAS ACES,18,4,.818,8-2,0-0,9-2,9-2,0-0,9-1,W 6,2020
2,SEATTLE STORM,18,4,.818,8-2,0-0,10-1,8-3,0-0,7-3,L 1,2020
3,LOS ANGELES SPARKS,15,7,.682,5-5,0-0,8-3,7-4,1-0,6-4,L 2,2020
4,MINNESOTA LYNX,14,8,.636,4-6,0-0,7-4,7-4,0-0,5-5,W 1,2020
5,PHOENIX MERCURY,13,9,.591,4-6,0-0,6-5,7-4,1-0,7-3,L 1,2020
6,CHICAGO SKY,12,10,.545,6-4,0-0,6-5,6-5,0-0,4-6,W 1,2020
7,CONNECTICUT SUN,10,12,.455,7-3,0-0,3-8,7-4,0-1,5-5,L 2,2020
8,WASHINGTON MYSTICS,9,13,.409,6-4,0-0,5-6,4-7,0-2,5-5,W 4,2020
9,DALLAS WINGS,8,14,.364,1-9,0-0,4-7,4-7,2-0,4-6,W 1,2020
10,ATLANTA DREAM,7,15,.318,5-5,0-0,3-8,4-7,0-1,5-5,L 1,2020
11,INDIANA FEVER,6,16,.273,4-6,0-0,5-6,1-10,0-0,1-9,L 1,2020
12,NEW YORK LIBERTY,2,20,.091,2-8,0-0,0-11,2-9,0-0,1-9,L 8,2020
1,CONNECTICUT SUN,26,6,.813,12-3,0-0,15-1,11-5,0-2,10-0,W 14,2021
2,LAS VEGAS ACES,24,8,.750,11-4,0-0,13-3,11-5,1-2,8-2,W 4,2021
3,MINNESOTA LYNX,22,10,.688,10-5,0-0,13-3,9-7,2-0,9-1,W 4,2021
4,SEATTLE STORM,21,11,.656,9-6,0-0,11-5,10-6,3-2,5-5,W 1,2021
5,PHOENIX MERCURY,19,13,.594,6-9,0-0,7-9,12-4,2-0,7-3,L 3,2021
6,CHICAGO SKY,16,16,.500,10-5,0-0,6-10,10-6,1-3,5-5,W 1,2021
7,DALLAS WINGS,14,18,.438,7-8,0-0,7-9,7-9,0-2,5-5,W 1,2021
8,NEW YORK LIBERTY,12,20,.375,6-9,0-0,7-9,5-11,0-1,2-8,W 1,2021
9,WASHINGTON MYSTICS,12,20,.375,7-8,0-0,8-8,4-12,1-0,4-6,L 2,2021
10,LOS ANGELES SPARKS,12,20,.375,2-13,0-0,8-8,4-12,2-0,3-7,L 1,2021
11,ATLANTA DREAM,8,24,.250,6-9,0-0,4-12,4-12,1-1,2-8,L 2,2021
12,INDIANA FEVER,6,26,.188,4-11,0-0,4-12,2-14,0-0,2-8,L 7,2021
1,LAS VEGAS ACES,26,10,.722,15-3,0-0,13-5,13-5,0-1,8-2,W 4,2022
2,CHICAGO SKY,26,10,.722,15-3,0-0,14-4,12-6,2-1,6-4,W 1,2022
3,CONNECTICUT SUN,25,11,.694,11-7,0-0,13-5,12-6,1-1,8-2,W 3,2022
4,SEATTLE STORM,22,14,.611,10-8,0-0,13-5,9-9,1-0,5-5,L 1,2022
5,WASHINGTON MYSTICS,22,14,.611,11-7,0-0,12-6,10-8,1-2,7-3,W 2,2022
6,DALLAS WINGS,18,18,.500,8-10,0-0,8-10,10-8,1-0,7-3,W 1,2022
7,NEW YORK LIBERTY,16,20,.444,10-8,0-0,9-9,7-11,0-3,7-3,W 3,2022
8,PHOENIX MERCURY,15,21,.417,7-11,0-0,11-7,4-14,1-1,4-6,L 1,2022
9,MINNESOTA LYNX,14,22,.389,8-10,0-0,7-11,7-11,1-0,4-6,L 2,2022
10,ATLANTA DREAM,14,22,.389,5-13,0-0,8-10,6-12,1-1,2-8,L 4,2022
11,LOS ANGELES SPARKS,13,23,.361,6-12,0-0,7-11,6-12,1-0,1-9,L 3,2022
12,INDIANA FEVER,5,31,.139,2-16,0-0,3-15,2-16,1-1,0-10,L 18,2022
1,LAS VEGAS ACES,34,6,.850,18-2,0-0,19-1,15-5,0-0,7-3,W 4,2023
2,NEW YORK LIBERTY,32,8,.800,16-4,0-0,15-5,17-3,3-0,8-2,L 1,2023
3,CONNECTICUT SUN,27,13,.675,14-6,0-0,13-7,14-6,0-3,6-4,L 1,2023
4,DALLAS WINGS,22,18,.550,11-9,0-0,11-9,11-9,0-1,6-4,W 2,2023
5,ATLANTA DREAM,19,21,.475,11-9,0-0,11-9,8-12,1-1,4-6,L 1,2023
6,MINNESOTA LYNX,19,21,.475,12-8,0-0,9-11,10-10,2-0,5-5,L 2,2023
7,WASHINGTON MYSTICS,19,21,.475,9-11,0-0,12-8,7-13,0-1,5-5,W 1,2023
8,CHICAGO SKY,18,22,.450,5-15,0-0,7-13,11-9,2-0,6-4,W 3,2023
9,LOS ANGELES SPARKS,17,23,.425,9-11,0-0,10-10,7-13,1-0,5-5,W 1,2023
10,INDIANA FEVER,13,27,.325,5-15,0-0,6-14,7-13,1-2,5-5,W 1,2023
11,SEATTLE STORM,11,29,.275,8-12,0-0,4-16,7-13,0-1,2-8,L 4,2023
12,PHOENIX MERCURY,9,31,.225,2-18,0-0,8-12,1-19,0-1,0-10,L 11,2023
1,NEW YORK LIBERTY,32,8,.800,16-4,0-0,16-4,16-4,0-0,7-3,L 1,2024
2,MINNESOTA LYNX,30,10,.750,14-6,0-0,16-4,14-6,1-1,8-2,L 1,2024
3,CONNECTICUT SUN,28,12,.700,14-6,0-0,14-6,14-6,2-0,6-4,W 1,2024
4,LAS VEGAS ACES,27,13,.675,12-8,0-0,13-7,14-6,0-1,9-1,W 5,2024
5,SEATTLE STORM,25,15,.625,13-7,0-0,14-6,11-9,0-1,6-4,W 1,2024
6,INDIANA FEVER,20,20,.500,11-9,0-0,12-8,8-12,1-0,6-4,L 1,2024
7,PHOENIX MERCURY,19,21,.475,10-10,0-0,10-10,9-11,1-0,3-7,L 1,2024
8,ATLANTA DREAM,15,25,.375,7-13,0-0,8-12,7-13,2-1,5-5,W 3,2024
9,WASHINGTON MYSTICS,14,26,.350,7-13,0-0,5-15,9-11,0-2,6-4,W 1,2024
10,CHICAGO SKY,13,27,.325,5-15,0-0,6-14,7-13,0-0,2-8,L 5,2024
11,DALLAS WINGS,9,31,.225,6-14,0-0,7-13,2-18,0-2,1-9,L 9,2024
12,LOS ANGELES SPARKS,8,32,.200,5-15,0-0,5-15,3-17,1-0,2-8,W 1,2024
