RANK,TEAM,W,L,WIN%,CONF,DIV,HOME,ROAD,OT,LAST 10,STREAK,YEAR
8,WASHINGTON MYSTICS,10,22,.313,4-17,0-0,8-8,2-14,0-0,4-6,L 1,2001
8,SEATTLE STORM,10,22,.313,6-15,0-0,5-11,5-11,0-0,2-8,L 3,2001
1,NEW YORK LIBERTY,18,14,.563,11-10,0-0,10-6,8-8,0-0,5-5,L 2,2002
1,LOS ANGELES SPARKS,25,7,.781,17-4,0-0,12-4,13-3,0-0,7-3,W 3,2002
2,CHARLOTTE STING,18,14,.563,12-9,0-0,11-5,7-9,0-0,5-5,W 4,2002
2,HOUSTON COMETS,24,8,.750,16-5,0-0,14-2,10-6,0-0,8-2,W 1,2002
3,UTAH STARZZ,20,12,.625,12-9,0-0,12-4,8-8,0-0,5-5,W 1,2002
3,WASHINGTON MYSTICS,17,15,.531,12-9,0-0,9-7,8-8,0-0,2-8,L 1,2002
4,INDIANA FEVER,16,16,.500,12-9,0-0,10-6,6-10,0-0,7-3,W 2,2002
4,SEATTLE STORM,17,15,.531,10-11,0-0,10-6,7-9,0-0,7-3,L 1,2002
5,ORLANDO MIRACLE,16,16,.500,13-8,0-0,10-6,6-10,0-0,6-4,W 2,2002
5,PORTLAND FIRE,16,16,.500,8-13,0-0,9-7,7-9,0-0,3-7,L 4,2002
6,SACRAMENTO MONARCHS,14,18,.438,8-13,0-0,10-6,4-12,0-0,8-2,W 1,2002
6,MIAMI SOL,15,17,.469,11-10,0-0,9-7,6-10,0-0,5-5,W 1,2002
7,CLEVELAND ROCKERS,10,22,.313,7-14,0-0,4-12,6-10,0-0,2-8,L 6,2002
7,PHOENIX MERCURY,11,21,.344,7-14,0-0,10-6,1-15,0-0,3-7,L 1,2002
8,DETROIT SHOCK,9,23,.281,6-15,0-0,7-9,2-14,0-0,5-5,L 2,2002
8,MINNESOTA LYNX,10,22,.313,6-15,0-0,7-9,3-13,0-0,3-7,L 3,2002
NA,CONNECTICUT SUN,18,16,.529,11-13,18-16,10-7,8-9,0-2,4-1,W 3,2003
NA,SAN ANTONIO SILVER STARS,12,22,.353,10-14,12-22,9-8,3-14,1-0,2-3,L 2,2003
NA,MINNESOTA LYNX,18,16,.529,14-10,18-16,11-6,7-10,1-1,2-3,L 2,2003
NA,CHARLOTTE STING,18,16,.529,12-12,18-16,13-4,5-12,1-1,2-3,L 1,2003
NA,PHOENIX MERCURY,8,26,.235,5-19,8-26,6-11,2-15,1-2,2-3,L 1,2003
NA,NEW YORK LIBERTY,16,18,.471,11-13,16-18,11-6,5-12,0-2,3-2,L 2,2003
NA,INDIANA FEVER,16,18,.471,12-12,16-18,11-6,5-12,2-0,3-2,L 1,2003
NA,WASHINGTON MYSTICS,9,25,.265,7-17,9-25,3-14,6-11,0-2,1-4,L 4,2003
NA,HOUSTON COMETS,20,14,.588,14-10,20-14,14-3,6-11,0-1,1-4,L 3,2003
NA,LOS ANGELES SPARKS,24,10,.706,17-7,24-10,11-6,13-4,2-1,5-0,W 5,2003
NA,SEATTLE STORM,18,16,.529,11-13,18-16,13-4,5-12,0-2,2-3,W 2,2003
NA,DETROIT SHOCK,25,9,.735,18-6,25-9,13-4,12-5,4-0,4-1,W 4,2003
NA,SACRAMENTO MONARCHS,19,15,.559,13-11,19-15,12-5,7-10,1-0,4-1,L 1,2003
NA,CLEVELAND ROCKERS,17,17,.500,13-11,17-17,11-6,6-11,1-0,2-3,W 1,2003
1,CONNECTICUT SUN,18,16,.529,18-16,5-4,10-7,8-9,2-2,6-4,W 1,2004
1,LOS ANGELES SPARKS,25,9,.735,25-9,8-2,15-2,10-7,4-1,8-2,W 1,2004
2,NEW YORK LIBERTY,18,16,.529,18-16,6-4,11-6,7-10,2-2,6-4,W 3,2004
2,SEATTLE STORM,20,14,.588,20-14,5-6,13-4,7-10,1-0,4-6,L 1,2004
3,SACRAMENTO MONARCHS,18,16,.529,18-16,8-3,10-7,8-9,0-3,7-3,W 3,2004
3,DETROIT SHOCK,17,17,.500,17-17,6-5,8-9,9-8,1-1,6-4,W 3,2004
4,MINNESOTA LYNX,18,16,.529,18-16,5-7,11-6,7-10,2-0,4-6,L 1,2004
4,WASHINGTON MYSTICS,17,17,.500,17-17,7-5,11-6,6-11,1-1,7-3,L 1,2004
5,CHARLOTTE STING,16,18,.471,16-18,6-8,10-7,6-11,2-1,4-6,L 3,2004
5,PHOENIX MERCURY,17,17,.500,17-17,7-5,10-7,7-10,0-1,5-5,W 1,2004
6,INDIANA FEVER,15,19,.441,15-19,3-7,10-7,5-12,0-2,3-7,L 4,2004
6,HOUSTON COMETS,13,21,.382,13-21,3-8,9-8,4-13,1-1,3-7,L 3,2004
7,SAN ANTONIO SILVER STARS,9,25,.265,9-25,3-8,6-11,3-14,1-2,3-7,W 1,2004
1,SACRAMENTO MONARCHS,25,9,.735,17-5,0-0,15-2,10-7,0-0,8-2,W 1,2005
1,CONNECTICUT SUN,26,8,.765,13-7,0-0,14-3,12-5,0-0,8-2,W 2,2005
2,INDIANA FEVER,21,13,.618,14-6,0-0,14-3,7-10,1-2,6-4,W 1,2005
2,SEATTLE STORM,20,14,.588,13-9,0-0,14-3,6-11,0-1,6-4,W 3,2005
3,NEW YORK LIBERTY,18,16,.529,9-11,0-0,10-7,8-9,2-2,6-4,L 3,2005
3,HOUSTON COMETS,19,15,.559,11-11,0-0,11-6,8-9,1-1,5-5,W 2,2005
4,LOS ANGELES SPARKS,17,17,.500,12-10,0-0,11-6,6-11,0-0,5-5,L 1,2005
4,DETROIT SHOCK,16,18,.471,11-9,0-0,12-5,4-13,2-2,6-4,L 1,2005
5,PHOENIX MERCURY,16,18,.471,12-10,0-0,11-6,5-12,0-0,5-5,L 3,2005
5,WASHINGTON MYSTICS,16,18,.471,9-11,0-0,10-7,6-11,3-0,4-6,W 1,2005
6,CHARLOTTE STING,6,28,.176,4-16,0-0,5-12,1-16,1-2,3-7,L 1,2005
6,MINNESOTA LYNX,14,20,.412,9-13,0-0,11-6,3-14,1-1,3-7,L 4,2005
7,SAN ANTONIO SILVER STARS,7,27,.206,3-19,0-0,5-12,2-15,0-0,1-9,L 9,2005
1,LOS ANGELES SPARKS,25,9,.735,15-5,,15-2,10-7,0-1,6-4,W 2,2006
1,CONNECTICUT SUN,26,8,.765,15-5,,14-3,12-5,0-1,8-2,L 2,2006
2,SACRAMENTO MONARCHS,21,13,.618,10-10,,14-3,7-10,1-1,5-5,L 1,2006
2,DETROIT SHOCK,23,11,.676,14-6,,14-3,9-8,1-0,6-4,W 1,2006
3,HOUSTON COMETS,18,16,.529,11-9,,12-5,6-11,2-1,5-5,W 1,2006
3,INDIANA FEVER,21,13,.618,12-8,,12-5,9-8,2-0,6-4,L 1,2006
4,WASHINGTON MYSTICS,18,16,.529,12-8,,13-4,5-12,0-1,6-4,L 1,2006
4,SEATTLE STORM,18,16,.529,10-10,,9-8,9-8,0-0,6-4,L 2,2006
5,NEW YORK LIBERTY,11,23,.324,7-13,,7-10,4-13,1-1,7-3,W 2,2006
5,PHOENIX MERCURY,18,16,.529,8-12,,10-7,8-9,2-0,7-3,W 7,2006
6,CHARLOTTE STING,11,23,.324,6-14,,7-10,4-13,0-1,4-6,W 1,2006
6,SAN ANTONIO SILVER STARS,13,21,.382,10-10,,6-11,7-10,0-0,2-8,L 1,2006
7,MINNESOTA LYNX,10,24,.294,6-14,,8-9,2-15,0-1,1-9,L 3,2006
7,CHICAGO SKY,5,29,.147,4-16,,3-14,2-15,0-0,2-8,W 1,2006
1,PHOENIX MERCURY,23,11,.676,17-5,0-0,12-5,11-6,1-0,9-1,W 5,2007
1,DETROIT SHOCK,24,10,.706,14-6,0-0,12-5,12-5,1-1,6-4,L 4,2007
2,SAN ANTONIO SILVER STARS,20,14,.588,13-9,0-0,9-8,11-6,2-1,4-6,L 3,2007
2,INDIANA FEVER,21,13,.618,12-8,0-0,12-5,9-8,1-1,5-5,W 2,2007
3,SACRAMENTO MONARCHS,19,15,.559,12-10,0-0,12-5,7-10,1-3,5-5,L 2,2007
3,CONNECTICUT SUN,18,16,.529,10-10,0-0,8-9,10-7,2-2,6-4,L 2,2007
4,NEW YORK LIBERTY,16,18,.471,10-10,0-0,10-7,6-11,1-1,6-4,W 3,2007
4,SEATTLE STORM,17,17,.500,11-11,0-0,12-5,5-12,0-1,5-5,W 3,2007
5,HOUSTON COMETS,13,21,.382,10-12,0-0,7-10,6-11,0-0,5-5,W 1,2007
5,WASHINGTON MYSTICS,16,18,.471,8-12,0-0,8-9,8-9,3-1,6-4,W 1,2007
6,MINNESOTA LYNX,10,24,.294,8-14,0-0,7-10,3-14,1-2,5-5,W 2,2007
6,CHICAGO SKY,14,20,.412,6-14,0-0,6-11,8-9,3-2,3-7,L 1,2007
7,LOS ANGELES SPARKS,10,24,.294,6-16,0-0,5-12,5-12,1-2,2-8,L 3,2007
1,SAN ANTONIO SILVER STARS,24,10,.706,10-10,0-0,15-2,9-8,1-1,8-2,W 5,2008
1,DETROIT SHOCK,22,12,.647,16-4,0-0,14-3,8-9,1-2,6-4,W 5,2008
2,CONNECTICUT SUN,21,13,.618,13-7,0-0,13-4,8-9,1-1,7-3,W 1,2008
2,SEATTLE STORM,22,12,.647,13-7,0-0,16-1,6-11,0-0,6-4,L 1,2008
3,NEW YORK LIBERTY,19,15,.559,11-9,0-0,11-6,8-9,2-0,5-5,L 1,2008
3,LOS ANGELES SPARKS,20,14,.588,12-8,0-0,12-5,8-9,4-3,6-4,W 1,2008
4,SACRAMENTO MONARCHS,18,16,.529,9-11,0-0,13-4,5-12,0-0,5-5,L 2,2008
4,INDIANA FEVER,17,17,.500,12-8,0-0,11-6,6-11,1-2,6-4,W 2,2008
5,HOUSTON COMETS,17,17,.500,10-10,0-0,13-4,4-13,2-3,5-5,W 3,2008
5,CHICAGO SKY,12,22,.353,10-10,0-0,8-9,4-13,1-2,4-6,L 2,2008
6,PHOENIX MERCURY,16,18,.471,8-12,0-0,10-7,6-11,1-0,5-5,L 1,2008
6,WASHINGTON MYSTICS,10,24,.294,6-14,0-0,6-11,4-13,1-0,1-9,L 9,2008
7,MINNESOTA LYNX,16,18,.471,8-12,0-0,9-8,7-10,2-2,4-6,W 1,2008
7,ATLANTA DREAM,4,30,.118,2-18,0-0,1-16,3-14,0-1,1-9,L 1,2008
1,PHOENIX MERCURY,23,11,.676,13-7,0-0,12-5,11-6,4-0,6-4,L 1,2009
1,INDIANA FEVER,22,12,.647,17-5,0-0,14-3,8-9,2-2,3-7,L 2,2009
2,SEATTLE STORM,20,14,.588,13-7,0-0,13-4,7-10,3-3,7-3,W 1,2009
2,ATLANTA DREAM,18,16,.529,10-12,0-0,12-5,6-11,2-2,5-5,L 1,2009
3,LOS ANGELES SPARKS,18,16,.529,11-9,0-0,11-6,7-10,2-1,7-3,W 3,2009
3,DETROIT SHOCK,18,16,.529,11-11,0-0,11-6,7-10,3-4,8-2,W 2,2009
4,SAN ANTONIO SILVER STARS,15,19,.441,10-10,0-0,10-7,5-12,2-3,4-6,L 1,2009
4,WASHINGTON MYSTICS,16,18,.471,10-12,0-0,11-6,5-12,1-1,4-6,L 1,2009
5,MINNESOTA LYNX,14,20,.412,7-13,0-0,9-8,5-12,1-1,3-7,L 2,2009
5,CHICAGO SKY,16,18,.471,10-12,0-0,12-5,4-13,1-0,4-6,L 1,2009
6,SACRAMENTO MONARCHS,12,22,.353,6-14,0-0,7-10,5-12,1-1,5-5,W 1,2009
6,CONNECTICUT SUN,16,18,.471,10-12,0-0,12-5,4-13,2-4,3-7,W 1,2009
7,NEW YORK LIBERTY,13,21,.382,9-13,0-0,8-9,5-12,1-3,4-6,W 1,2009
1,WASHINGTON MYSTICS,22,12,.647,13-9,0-0,13-4,9-8,1-1,8-2,W 6,2010
1,SEATTLE STORM,28,6,.824,20-2,0-0,17-0,11-6,2-0,6-4,W 3,2010
2,NEW YORK LIBERTY,22,12,.647,14-8,0-0,13-4,9-8,2-1,9-1,W 1,2010
2,PHOENIX MERCURY,15,19,.441,13-9,0-0,9-8,6-11,1-2,4-6,L 2,2010
3,SAN ANTONIO SILVER STARS,14,20,.412,11-11,0-0,8-9,6-11,0-0,5-5,W 2,2010
3,INDIANA FEVER,21,13,.618,13-9,0-0,12-5,9-8,2-1,5-5,L 3,2010
4,ATLANTA DREAM,19,15,.559,10-12,0-0,10-7,9-8,2-0,4-6,L 2,2010
4,LOS ANGELES SPARKS,13,21,.382,10-12,0-0,8-9,5-12,1-0,5-5,L 1,2010
5,CONNECTICUT SUN,17,17,.500,9-13,0-0,12-5,5-12,0-4,4-6,L 1,2010
5,MINNESOTA LYNX,13,21,.382,8-14,0-0,7-10,6-11,3-1,5-5,W 1,2010
6,TULSA SHOCK,6,28,.176,4-18,0-0,4-13,2-15,0-1,2-8,W 1,2010
6,CHICAGO SKY,14,20,.412,7-15,0-0,7-10,7-10,0-3,2-8,L 2,2010
1,MINNESOTA LYNX,27,7,.794,18-4,0-0,14-3,13-4,0-0,9-1,W 3,2011
1,INDIANA FEVER,21,13,.618,13-9,0-0,13-4,8-9,0-1,4-6,L 2,2011
2,CONNECTICUT SUN,21,13,.618,14-8,0-0,15-2,6-11,1-3,5-5,W 1,2011
2,SEATTLE STORM,21,13,.618,15-7,0-0,15-2,6-11,0-0,8-2,W 4,2011
3,PHOENIX MERCURY,19,15,.559,11-11,0-0,11-6,8-9,1-2,5-5,L 2,2011
3,ATLANTA DREAM,20,14,.588,14-8,0-0,11-6,9-8,1-2,8-2,W 4,2011
4,NEW YORK LIBERTY,19,15,.559,11-11,0-0,12-5,7-10,2-0,6-4,L 1,2011
4,SAN ANTONIO SILVER STARS,18,16,.529,11-11,0-0,9-8,9-8,2-0,5-5,W 3,2011
5,LOS ANGELES SPARKS,15,19,.441,10-12,0-0,10-7,5-12,2-2,5-5,W 2,2011
5,CHICAGO SKY,14,20,.412,10-12,0-0,10-7,4-13,1-0,4-6,L 5,2011
6,TULSA SHOCK,3,31,.088,1-21,0-0,2-15,1-16,0-1,2-8,L 6,2011
6,WASHINGTON MYSTICS,6,28,.176,4-18,0-0,4-13,2-15,2-1,1-9,L 4,2011
1,CONNECTICUT SUN,25,9,.735,18-4,0-0,12-5,13-4,3-1,7-3,W 3,2012
1,MINNESOTA LYNX,27,7,.794,17-5,0-0,16-1,11-6,2-0,7-3,L 1,2012
2,LOS ANGELES SPARKS,24,10,.706,15-7,0-0,16-1,8-9,0-1,6-4,W 4,2012
2,INDIANA FEVER,22,12,.647,15-7,0-0,13-4,9-8,1-1,6-4,W 2,2012
3,SAN ANTONIO SILVER STARS,21,13,.618,14-8,0-0,12-5,9-8,1-1,4-6,W 1,2012
3,ATLANTA DREAM,19,15,.559,12-10,0-0,11-6,8-9,1-2,7-3,L 1,2012
4,NEW YORK LIBERTY,15,19,.441,10-12,0-0,9-8,6-11,0-0,6-4,W 1,2012
4,SEATTLE STORM,16,18,.471,11-11,0-0,10-7,6-11,1-0,5-5,W 3,2012
5,TULSA SHOCK,9,25,.265,5-17,0-0,6-11,3-14,1-2,4-6,L 2,2012
5,CHICAGO SKY,14,20,.412,8-14,0-0,7-10,7-10,2-4,5-5,W 1,2012
6,PHOENIX MERCURY,7,27,.206,4-18,0-0,3-14,4-13,0-1,2-8,L 7,2012
6,WASHINGTON MYSTICS,5,29,.147,3-19,0-0,4-13,1-16,1-0,0-10,L 13,2012
1,MINNESOTA LYNX,26,8,.765,18-4,0-0,15-2,11-6,0-1,8-2,W 1,2013
1,CHICAGO SKY,24,10,.706,17-5,0-0,14-3,10-7,1-0,8-2,L 1,2013
2,LOS ANGELES SPARKS,24,10,.706,14-8,0-0,15-2,9-8,2-0,7-3,W 3,2013
