origin,w,p
1,953.2899999999997,0.015883851553661257
2,218.47999999999993,0.0036403443731119712
4,1443.769999999999,0.024056298039032722
5,592.3100000000007,0.009869152213648641
6,7520.119999999981,0.12530129314869431
8,1298.8499999999988,0.021641620693045042
9,561.2199999999995,0.00935112627736131
10,111.66000000000004,0.0018604945656430015
11,170.98999999999998,0.002849059338879605
12,4221.310000000006,0.07033605870405218
13,1959.7300000000002,0.032653295854626174
15,249.1600000000002,0.004151538831950658
16,326.53000000000003,0.005440688612926824
17,2414.8199999999993,0.04023606920120034
18,1341.5800000000017,0.02235359394031292
19,550.4999999999994,0.009172508135289907
20,563.0000000000001,0.009380784886772431
21,806.1399999999999,0.013432017635209103
22,731.3899999999999,0.01218652266134367
23,180.3799999999999,0.0030055168345932684
24,1137.2200000000012,0.018948518985675584
25,1180.3600000000013,0.019667323710392037
26,1925.9099999999958,0.03208978227581501
27,851.5199999999996,0.014188145553791219
28,465.0099999999999,0.0077480617765507045
29,1136.8999999999996,0.018943187100837606
30,165.01000000000013,0.0027494197409703726
31,405.71,0.006759996867517659
32,728.0899999999999,0.012131537598952287
33,199.45,0.003323263846654993
34,1458.4200000000023,0.024300398391770284
35,425.24999999999994,0.0070855750854351245
36,3117.9499999999985,0.05195171978279233
37,1925.720000000002,0.03208661646919258
38,108.51999999999997,0.0018081754456705929
39,2254.810000000002,0.03756996016082303
40,770.1400000000006,0.012832180590939475
41,836.85,0.013943711958251347
42,1881.2799999999975,0.03134615096232187
44,181.11,0.003017680196879849
45,795.1800000000005,0.013249400579509246
46,159.16999999999993,0.002652112842677739
47,1221.2099999999975,0.020347972134236832
48,5388.930000000002,0.08979110674933316
49,472.4000000000002,0.007871194992027172
50,81.98999999999998,0.0013661288683241054
51,1603.5800000000015,0.026719074651386406
53,1602.300000000001,0.02669774711203459
54,273.41999999999996,0.004555762351227917
55,943.2599999999995,0.015716730288271683
56,104.39999999999995,0.001739527428381956
