statefip,amen_R
1,0.7291549557437976
2,-5.420173449012126
4,0.7721778271705645
5,0.7717892334931615
6,0.7706789658434384
8,-0.45977515696209925
9,0.10096551953051225
10,0.6500483857010321
11,0
12,0.13710473152899622
13,0.7046735540674048
15,0.21754362275142944
16,-0.5782962285700322
17,0.39940546377605995
18,0.3902457556658456
19,-0.05358373731093259
20,0.592314467915435
21,0.6652035391197515
22,0.5452946329496648
23,-1.2313556601371127
24,0.585930428929528
25,-0.040093985366797695
26,-0.5782962285700322
27,-1.189387542977582
28,0.7085039774589493
29,0.604749465592333
30,-0.8887825768150742
31,0.07631757770666081
32,0.2063854328717129
33,-0.6842157623536087
34,0.4768466323442412
35,0.5308611535032658
36,-0.4106458134618561
37,0.7671261093643248
38,-1.3599246539750391
39,0.2925422024902198
40,0.7717892334931615
41,0.025689372879291263
42,0.07631757770666081
44,0.22859078586617362
45,0.740701739300917
46,-0.4432876823637121
47,0.740701739300917
48,0.644774614364848
49,0.05122552882292103
50,-0.850589369664603
51,0.6393898162636913
53,0.012754754760017842
54,0.39940546377605995
55,-0.8128402695740199
56,-1.0259561449383539
