age_start,exposures,moves,p
40,112702.13999999993,16774.76999999988,0.14884162802942244
42,103133.07999999991,15374.329999999942,0.14907273204678803
44,96792.55000000082,14162.710000000006,0.14632024882080166
46,88658.60999999996,12705.400000000045,0.14330700650506534
48,83344.12000000004,12160.280000000103,0.14590447412487043
50,78114.55999999972,11965.669999999976,0.15318104588952455
52,73177.46999999876,11472.809999999976,0.15678063207159484
54,68417.54999999929,11271.080000000076,0.16473960263119905
56,61560.449999999844,10388.549999999994,0.16875363971510962
58,55583.370000000265,9810.650000000007,0.17650333184187933
60,50772.69000000018,9482.529999999957,0.18676438061485268
62,46019.18000000017,9051.130000000037,0.1966816879396809
64,39079.95999999988,8004.709999999976,0.20482902234290926
66,33419.789999999746,7093.6499999999905,0.21225896392526836
68,28299.39000000003,6021.420000000025,0.21277561106440876
70,25008.580000000078,5002.03000000001,0.20001255569088666
72,21519.98000000023,4053.079999999999,0.1883403237363583
74,19525.77999999999,3672.3400000000024,0.1880764814517015
76,17772.719999999885,3279.549999999996,0.18452718548427124
78,16103.850000000011,2788.6800000000017,0.17316852802280197
80,7668.309999999997,1277.5000000000002,0.16659472556534632
