destination,age,wage,tax_rate,rentgrs,hccost
1,40,30052.26296040082,0.03999999999999998,543.5772481369345,5310.015216543114
1,41,33240.42368708643,0.04000000000000003,527.896205132947,5310.015216543114
1,42,32533.931247190412,0.03999999999999996,480.4633768225174,5310.015216543114
1,43,32483.245501813308,0.03999999999999992,505.0473523214894,5310.015216543114
1,44,31715.553896768095,0.03999999999999994,447.89577434747935,5310.015216543114
1,45,32986.01434609612,0.04000000000000004,473.25232066186146,5310.015216543114
1,46,31863.46612663353,0.03999999999999996,448.6485785381795,5310.015216543114
1,47,30876.951351027503,0.03999999999999997,439.4471680705335,5310.015216543114
1,48,31010.016426720787,0.04000000000000005,448.6299499575896,5310.015216543114
1,49,29197.047070212044,0.04000000000000002,449.07877041224305,5310.015216543114
1,50,27455.775889708253,0.03999999999999999,446.82204685943975,5310.015216543114
1,51,38944.32928337095,0.03999999999999994,440.7535590664936,5310.015216543114
1,52,29232.1725057121,0.03999999999999999,426.4519811811252,5310.015216543114
1,53,25564.727032337465,0.03999999999999999,405.4661129449343,5310.015216543114
1,54,31742.253293155423,0.03999999999999997,432.2326359387335,5310.015216543114
1,55,28688.00996324046,0.03999999999999996,422.04682097807154,5310.015216543114
1,56,24743.281602861724,0.03999999999999999,385.6487898018224,5310.015216543114
1,57,23492.72119001268,0.04000000000000009,440.39832551832376,5310.015216543114
1,58,23157.787154880996,0.03999999999999994,354.2130305496241,5310.015216543114
1,59,27350.531096656396,0.03999999999999999,350.64041465411174,5310.015216543114
1,60,28281.488714120696,0.04000000000000005,350.49539928540383,5310.015216543114
1,61,25689.002897440205,0.04000000000000002,315.8053667543221,5310.015216543114
1,62,19059.87633310643,0.04000000000000001,287.147744168849,5310.015216543114
1,63,16488.82352941176,0.03999999999999998,301.84690629836376,5310.015216543114
1,64,17825.74392727485,0.03999999999999995,298.8686651460005,5310.015216543114
1,65,13707.70284263621,0.04000000000000005,264.7680393574671,5310.015216543114
1,66,15219.01316711022,0.03999999999999993,268.6966306972203,5310.015216543114
1,67,9261.617619281473,0.03999999999999999,306.21835875658905,5310.015216543114
1,68,9646.797901297889,0.04000000000000001,246.3483796452308,5310.015216543114
1,69,5912.368225992424,0.04000000000000005,333.85599034323843,5310.015216543114
1,70,7688.092750480512,0.04000000000000006,280.5342573244045,5310.015216543114
1,71,3229.364279588333,0.04,265.33103480847427,5310.015216543114
1,72,2646.1357569594497,0.04000000000000001,311.5529484727348,5310.015216543114
1,73,5328.821226358272,0.04000000000000001,330.2817462567211,5310.015216543114
1,74,1846.16833748234,0.04000000000000002,238.65071435048804,5310.015216543114
1,75,3532.7884132788427,0.04,326.57987263727654,5310.015216543114
1,76,3575.570542952516,0.03999999999999999,185.84400645088,5310.015216543114
1,77,1913.7454000272587,0.04000000000000001,312.99051888849556,5310.015216543114
1,78,2274.39256788947,0.03999999999999998,350.6036022472553,5310.015216543114
1,79,2127.8365831012075,0.04000000000000001,286.39253631127923,5310.015216543114
1,80,2227.4176231025535,0.03999999999999997,252.3881961498043,5310.015216543114
2,40,36787.45454545455,0,830.6915571815522,5174.126182965299
2,41,56027.688275156615,0,772.2656776588888,5174.126182965299
2,42,40959.702135516054,0,775.5131921935247,5174.126182965299
2,43,46429.89646554803,0,646.9222494791596,5174.126182965299
2,44,39513.447774221706,0,915.1922586253352,5174.126182965299
2,45,37301.14314414867,0,793.0481832639656,5174.126182965299
2,46,75572.99131649868,0,489.15093348575346,5174.126182965299
2,47,39403.48844672658,0,630.8545062754721,5174.126182965299
2,48,38598.840294095346,0,630.1567703218038,5174.126182965299
2,49,46702.98985167839,0,647.099225623592,5174.126182965299
2,50,40554.34219816425,0,694.8668390192431,5174.126182965299
2,51,32781.557192919405,0,702.6727109191221,5174.126182965299
2,52,36111.61257083975,0,665.8662813703118,5174.126182965299
2,53,40818.72046109508,0,490.6174018939713,5174.126182965299
2,54,39824.58583623142,0,672.3348685166164,5174.126182965299
2,55,35966.38114115814,0,702.7668473981342,5174.126182965299
2,56,52773.38108231012,0,623.0812911488631,5174.126182965299
2,57,37316.05963085661,0,701.0455314161987,5174.126182965299
2,58,35424.54576619815,0,578.9804751858793,5174.126182965299
2,59,48218.32442682296,0,684.8206018319407,5174.126182965299
2,60,39463.35635616949,0,457.55769640420914,5174.126182965299
2,61,37760.211451325,0,618.6652656193946,5174.126182965299
2,62,31147.392197125264,0,520.8643349551357,5174.126182965299
2,63,32193.939923157533,0,637.1159573699896,5174.126182965299
2,64,12379.026485325696,0,560.4350533284234,5174.126182965299
2,65,14765.607210626193,0,845.2223231221136,5174.126182965299
2,66,21292.37162362719,0,573.2820907450258,5174.126182965299
2,67,9428.733114275285,0,551.5877424130673,5174.126182965299
2,68,19876.35627530364,0,342.4313697776284,5174.126182965299
2,69,22578.419811320753,0,785.6364922463162,5174.126182965299
2,70,1429.0372670807456,0,452.1507948097642,5174.126182965299
2,71,7235.851226993865,0,660.2559529721631,5174.126182965299
2,72,2929.462915601023,0,431.5656781140472,5174.126182965299
2,73,1267.6392572944296,0,475.2450244902989,5174.126182965299
2,74,2226.424870466321,0,569.3025807303068,5174.126182965299
2,75,5302.096177558569,0,659.3810710989825,5174.126182965299
2,76,13251.251251251251,0,713.4385596939355,5174.126182965299
2,77,0,0,618.3172858416506,5174.126182965299
2,78,0,0,469.3721793213959,5174.126182965299
2,79,227.2,0,567.4173190076825,5174.126182965299
2,80,0,0,584.0873489248669,5174.126182965299
4,40,36636.90286639802,0.0336,692.1081496903413,5377.059392265193
4,41,42489.75901816418,0.0336,642.0744803570386,5377.059392265193
4,42,40456.772364985576,0.0336,682.0308751706327,5377.059392265193
4,43,41190.62821864177,0.03360000000000004,674.7582106120493,5377.059392265193
4,44,38553.9241286165,0.0336000000000001,649.4349528225177,5377.059392265193
4,45,39720.027814872454,0.03360000000000002,639.6322150851322,5377.059392265193
4,46,38212.12884141331,0.03359999999999999,612.0039855208038,5377.059392265193
