"","id","displaced","EDUC","first.displaced","race","gender","year","earn","learn"
"518",37,0,"HS",0,"White","Female",2013,45000,10.7144177687525
"526",38,0,"HS",0,"White","Female",2001,58000,10.9681982895286
"527",38,0,"HS",0,"White","Female",2003,61158,11.0212159583965
"528",38,0,"HS",0,"White","Female",2005,70000,11.1562505210315
"529",38,0,"HS",0,"White","Female",2007,87000,11.3736633976367
"530",38,0,"HS",0,"White","Female",2009,97500,11.4876076569859
"531",38,0,"HS",0,"White","Female",2011,93000,11.4403547721354
"532",38,0,"HS",0,"White","Female",2013,96000,11.47210347045
"568",41,0,"COL",0,"White","Male",2001,105000,11.5617156291397
"569",41,0,"COL",0,"White","Male",2003,73000,11.1982147201305
"570",41,0,"COL",0,"White","Male",2005,120000,11.6952470217642
"571",41,0,"COL",0,"White","Male",2007,1e+05,11.5129254649702
"572",41,0,"COL",0,"White","Male",2009,130000,11.7752897294377
"573",41,0,"COL",0,"White","Male",2011,130000,11.7752897294377
"574",41,0,"COL",0,"White","Male",2013,140000,11.8493977015914
"582",42,1,"HS",2005,"White","Male",2001,45000,10.7144177687525
"583",42,1,"HS",2005,"White","Male",2003,48000,10.77895628989
"584",42,1,"HS",2005,"White","Male",2005,45000,10.7144177687525
"585",42,1,"HS",2005,"White","Male",2007,51000,10.8395809117065
"586",42,1,"HS",2005,"White","Male",2009,48000,10.77895628989
"587",42,1,"HS",2005,"White","Male",2011,45000,10.7144177687525
"588",42,1,"HS",2005,"White","Male",2013,60000,11.0020998412042
"652",47,1,"HS",2001,"White","Male",2001,57995,10.968112078916
"653",47,1,"HS",2001,"White","Male",2003,42000,10.6454248972655
"654",47,1,"HS",2001,"White","Male",2005,66309,11.1020809135676
"655",47,1,"HS",2001,"White","Male",2007,68000,11.1272629841582
"656",47,1,"HS",2001,"White","Male",2009,68000,11.1272629841582
"657",47,1,"HS",2001,"White","Male",2011,75000,11.2252433925184
"658",47,1,"HS",2001,"White","Male",2013,90000,11.4075649493124
"792",57,0,"HS",0,"White","Female",2001,1200,7.09007683577609
"793",57,0,"HS",0,"White","Female",2003,9000,9.10497985631836
"794",57,0,"HS",0,"White","Female",2005,12000,9.39266192877014
"795",57,0,"HS",0,"White","Female",2007,51000,10.8395809117065
"796",57,0,"HS",0,"White","Female",2009,61000,11.0186291431554
"797",57,0,"HS",0,"White","Female",2011,30000,10.3089526606443
"798",57,0,"HS",0,"White","Female",2013,31000,10.3417424834673
"862",62,0,"COL",0,"White","Female",2001,27000,10.2035921449865
"863",62,0,"COL",0,"White","Female",2003,29000,10.2750511089686
"864",62,0,"COL",0,"White","Female",2005,30000,10.3089526606443
"865",62,0,"COL",0,"White","Female",2007,31800,10.3672215687683
"866",62,0,"COL",0,"White","Female",2009,46000,10.7363966754712
"867",62,0,"COL",0,"White","Female",2011,51000,10.8395809117065
"868",62,0,"COL",0,"White","Female",2013,58000,10.9681982895286
"876",63,1,"COL",2003,"White","Male",2001,120000,11.6952470217642
"877",63,1,"COL",2003,"White","Male",2003,120000,11.6952470217642
"878",63,1,"COL",2003,"White","Male",2005,108000,11.5898865061064
"879",63,1,"COL",2003,"White","Male",2007,120000,11.6952470217642
"880",63,1,"COL",2003,"White","Male",2009,140000,11.8493977015914
"881",63,1,"COL",2003,"White","Male",2011,165000,12.0137007528827
"882",63,1,"COL",2003,"White","Male",2013,150000,11.9183905730784
"960",69,0,"COL",0,"White","Male",2001,71000,11.1704351560235
"961",69,0,"COL",0,"White","Male",2003,94000,11.4510500612521
"962",69,0,"COL",0,"White","Male",2005,120000,11.6952470217642
"963",69,0,"COL",0,"White","Male",2007,147000,11.8981878657609
"964",69,0,"COL",0,"White","Male",2009,146000,11.8913619006905
"965",69,0,"COL",0,"White","Male",2011,145000,11.8844890214027
"966",69,0,"COL",0,"White","Male",2013,140000,11.8493977015914
"1002",72,1,"COL",2009,"White","Female",2001,36000,10.4912742174382
"1003",72,1,"COL",2009,"White","Female",2003,37000,10.5186731916264
"1004",72,1,"COL",2009,"White","Female",2005,44000,10.6919449129004
"1005",72,1,"COL",2009,"White","Female",2007,40500,10.6090572530946
"1006",72,1,"COL",2009,"White","Female",2009,45000,10.7144177687525
"1007",72,1,"COL",2009,"White","Female",2011,42000,10.6454248972655
"1008",72,1,"COL",2009,"White","Female",2013,46000,10.7363966754712
"1058",76,0,"HS",0,"White","Male",2001,36000,10.4912742174382
"1059",76,0,"HS",0,"White","Male",2003,37590,10.5344933365582
"1060",76,0,"HS",0,"White","Male",2005,37000,10.5186731916264
"1061",76,0,"HS",0,"White","Male",2007,50000,10.8197782844103
"1062",76,0,"HS",0,"White","Male",2009,70000,11.1562505210315
"1063",76,0,"HS",0,"White","Male",2011,70000,11.1562505210315
"1064",76,0,"HS",0,"White","Male",2013,60000,11.0020998412042
"1072",77,1,"COL",2003,"White","Female",2001,68000,11.1272629841582
"1073",77,1,"COL",2003,"White","Female",2003,68977,11.1415283946782
"1074",77,1,"COL",2003,"White","Female",2005,95000,11.4616321705827
"1075",77,1,"COL",2003,"White","Female",2007,75000,11.2252433925184
"1076",77,1,"COL",2003,"White","Female",2009,110000,11.6082356447746
"1077",77,1,"COL",2003,"White","Female",2011,90000,11.4075649493124
"1078",77,1,"COL",2003,"White","Female",2013,134000,11.805595078933
"1114",80,1,"COL",2009,"White","Male",2001,10500,9.25913053614561
"1115",80,1,"COL",2009,"White","Male",2003,13000,9.47270463644367
"1116",80,1,"COL",2009,"White","Male",2005,13000,9.47270463644367
"1117",80,1,"COL",2009,"White","Male",2007,16000,9.68034400122192
"1118",80,1,"COL",2009,"White","Male",2009,32000,10.3734911817819
"1119",80,1,"COL",2009,"White","Male",2011,23000,10.0432494949113
"1120",80,1,"COL",2009,"White","Male",2013,23783,10.0767263187217
"1254",90,0,"COL",0,"White","Male",2001,106500,11.5759002641316
"1255",90,0,"COL",0,"White","Male",2003,105000,11.5617156291397
"1256",90,0,"COL",0,"White","Male",2005,15000,9.61580548008435
"1257",90,0,"COL",0,"White","Male",2007,120000,11.6952470217642
"1258",90,0,"COL",0,"White","Male",2009,128000,11.7597855429018
"1259",90,0,"COL",0,"White","Male",2011,120000,11.6952470217642
"1260",90,0,"COL",0,"White","Male",2013,129000,11.7675676833438
"1268",91,1,"COL",2003,"White","Female",2001,58000,10.9681982895286
"1269",91,1,"COL",2003,"White","Female",2003,40000,10.5966347330961
"1270",91,1,"COL",2003,"White","Female",2005,30000,10.3089526606443
"1271",91,1,"COL",2003,"White","Female",2007,30000,10.3089526606443
"1272",91,1,"COL",2003,"White","Female",2009,30000,10.3089526606443
"1273",91,1,"COL",2003,"White","Female",2011,22000,9.99879773234045
"1274",91,1,"COL",2003,"White","Female",2013,40000,10.5966347330961
"1282",92,0,"HS",0,"White","Female",2001,19000,9.85219425814858
"1283",92,0,"HS",0,"White","Female",2003,21000,9.95227771670556
"1284",92,0,"HS",0,"White","Female",2005,25000,10.1266311038503
"1285",92,0,"HS",0,"White","Female",2007,24000,10.0858091093301
"1286",92,0,"HS",0,"White","Female",2009,25940,10.1635414578704
"1287",92,0,"HS",0,"White","Female",2011,36000,10.4912742174382
"1288",92,0,"HS",0,"White","Female",2013,41000,10.6213273456864
"1296",93,0,"HS",0,"White","Male",2001,73000,11.1982147201305
"1297",93,0,"HS",0,"White","Male",2003,74000,11.2118203721863
"1298",93,0,"HS",0,"White","Male",2005,80365,11.2943340370032
"1299",93,0,"HS",0,"White","Male",2007,96000,11.47210347045
"1300",93,0,"HS",0,"White","Male",2009,85000,11.3504065354725
"1301",93,0,"HS",0,"White","Male",2011,87000,11.3736633976367
"1302",93,0,"HS",0,"White","Male",2013,49000,10.7995755770928
"1310",94,0,"No HS",0,"White","Male",2001,42000,10.6454248972655
"1311",94,0,"No HS",0,"White","Male",2003,40000,10.5966347330961
"1312",94,0,"No HS",0,"White","Male",2005,42000,10.6454248972655
"1313",94,0,"No HS",0,"White","Male",2007,42000,10.6454248972655
"1314",94,0,"No HS",0,"White","Male",2009,44000,10.6919449129004
"1315",94,0,"No HS",0,"White","Male",2011,44000,10.6919449129004
"1316",94,0,"No HS",0,"White","Male",2013,50000,10.8197782844103
"1324",95,0,"HS",0,"White","Female",2001,32000,10.3734911817819
"1325",95,0,"HS",0,"White","Female",2003,28000,10.2399597891573
"1326",95,0,"HS",0,"White","Female",2005,30000,10.3089526606443
"1327",95,0,"HS",0,"White","Female",2007,44000,10.6919449129004
"1328",95,0,"HS",0,"White","Female",2009,46000,10.7363966754712
"1329",95,0,"HS",0,"White","Female",2011,50000,10.8197782844103
"1330",95,0,"HS",0,"White","Female",2013,52000,10.8589989975636
"1338",96,1,"No HS",2007,"White","Female",2001,28000,10.2399597891573
"1339",96,1,"No HS",2007,"White","Female",2003,38000,10.5453414387085
"1340",96,1,"No HS",2007,"White","Female",2005,21500,9.97580821411575
"1341",96,1,"No HS",2007,"White","Female",2007,45000,10.7144177687525
"1342",96,1,"No HS",2007,"White","Female",2009,53500,10.8874369328841
"1343",96,1,"No HS",2007,"White","Female",2011,50000,10.8197782844103
"1344",96,1,"No HS",2007,"White","Female",2013,52000,10.8589989975636
"1380",99,0,"HS",0,"White","Female",2001,5000,8.51719319141624
"1381",99,0,"HS",0,"White","Female",2003,8400,9.0359869848314
"1382",99,0,"HS",0,"White","Female",2005,9000,9.10497985631836
"1383",99,0,"HS",0,"White","Female",2007,11000,9.30565055178051
"1384",99,0,"HS",0,"White","Female",2009,35000,10.4631033404715
"1385",99,0,"HS",0,"White","Female",2011,35000,10.4631033404715
"1386",99,0,"HS",0,"White","Female",2013,32000,10.3734911817819
"1394",100,0,"HS",0,"White","Female",2001,49000,10.7995755770928
"1395",100,0,"HS",0,"White","Female",2003,54000,10.8967393255464
"1396",100,0,"HS",0,"White","Female",2005,58000,10.9681982895286
"1397",100,0,"HS",0,"White","Female",2007,58000,10.9681982895286
"1398",100,0,"HS",0,"White","Female",2009,80000,11.289781913656
"1399",100,0,"HS",0,"White","Female",2011,80000,11.289781913656
"1400",100,0,"HS",0,"White","Female",2013,96000,11.47210347045
"1436",103,0,"COL",0,"White","Male",2001,60000,11.0020998412042
"1437",103,0,"COL",0,"White","Male",2003,62000,11.0348896640272
"1438",103,0,"COL",0,"White","Male",2005,68000,11.1272629841582
"1439",103,0,"COL",0,"White","Male",2007,68000,11.1272629841582
"1440",103,0,"COL",0,"White","Male",2009,71000,11.1704351560235
"1441",103,0,"COL",0,"White","Male",2011,1e+05,11.5129254649702
"1442",103,0,"COL",0,"White","Male",2013,90000,11.4075649493124
"1478",106,0,"COL",0,"White","Male",2001,86000,11.3621025752356
"1479",106,0,"COL",0,"White","Male",2003,93000,11.4403547721354
"1480",106,0,"COL",0,"White","Male",2005,105000,11.5617156291397
"1481",106,0,"COL",0,"White","Male",2007,105000,11.5617156291397
"1482",106,0,"COL",0,"White","Male",2009,110000,11.6082356447746
"1483",106,0,"COL",0,"White","Male",2011,125000,11.7360690162844
"1484",106,0,"COL",0,"White","Male",2013,122000,11.7117763237154
"1492",107,0,"COL",0,"White","Male",2001,41000,10.6213273456864
"1493",107,0,"COL",0,"White","Male",2003,44000,10.6919449129004
"1494",107,0,"COL",0,"White","Male",2005,43000,10.6689553946757
"1495",107,0,"COL",0,"White","Male",2007,47000,10.7579028806922
"1496",107,0,"COL",0,"White","Male",2009,51000,10.8395809117065
"1497",107,0,"COL",0,"White","Male",2011,54000,10.8967393255464
"1498",107,0,"COL",0,"White","Male",2013,75000,11.2252433925184
"1534",110,0,"HS",0,"White","Male",2001,62000,11.0348896640272
"1535",110,0,"HS",0,"White","Male",2003,68000,11.1272629841582
"1536",110,0,"HS",0,"White","Male",2005,115000,11.6526874073454
"1537",110,0,"HS",0,"White","Male",2007,91000,11.418614785499
"1538",110,0,"HS",0,"White","Male",2009,94000,11.4510500612521
"1539",110,0,"HS",0,"White","Male",2011,90000,11.4075649493124
"1540",110,0,"HS",0,"White","Male",2013,90000,11.4075649493124
"1548",111,0,"HS",0,"White","Female",2001,34000,10.4341158035983
"1549",111,0,"HS",0,"White","Female",2003,37000,10.5186731916264
"1550",111,0,"HS",0,"White","Female",2005,36000,10.4912742174382
"1551",111,0,"HS",0,"White","Female",2007,40000,10.5966347330961
"1552",111,0,"HS",0,"White","Female",2009,38000,10.5453414387085
"1553",111,0,"HS",0,"White","Female",2011,40000,10.5966347330961
"1554",111,0,"HS",0,"White","Female",2013,42000,10.6454248972655
"1632",117,0,"HS",0,"White","Male",2001,52000,10.8589989975636
"1633",117,0,"HS",0,"White","Male",2003,62000,11.0348896640272
"1634",117,0,"HS",0,"White","Male",2005,83000,11.3265958867787
"1635",117,0,"HS",0,"White","Male",2007,50000,10.8197782844103
"1636",117,0,"HS",0,"White","Male",2009,30000,10.3089526606443
"1637",117,0,"HS",0,"White","Male",2011,50000,10.8197782844103
"1638",117,0,"HS",0,"White","Male",2013,45000,10.7144177687525
"1674",120,0,"HS",0,"White","Male",2001,236000,12.3715870840077
"1675",120,0,"HS",0,"White","Male",2003,265933,12.4909996763376
"1676",120,0,"HS",0,"White","Male",2005,150000,11.9183905730784
"1677",120,0,"HS",0,"White","Male",2007,307823,12.6372802214419
"1678",120,0,"HS",0,"White","Male",2009,110000,11.6082356447746
"1679",120,0,"HS",0,"White","Male",2011,3000,8.00636756765025
"1680",120,0,"HS",0,"White","Male",2013,120000,11.6952470217642
"1688",121,0,"COL",0,"White","Female",2001,35000,10.4631033404715
"1689",121,0,"COL",0,"White","Female",2003,34078,10.4364072937752
"1690",121,0,"COL",0,"White","Female",2005,41000,10.6213273456864
"1691",121,0,"COL",0,"White","Female",2007,45000,10.7144177687525
"1692",121,0,"COL",0,"White","Female",2009,48000,10.77895628989
"1693",121,0,"COL",0,"White","Female",2011,60000,11.0020998412042
"1694",121,0,"COL",0,"White","Female",2013,62000,11.0348896640272
"1758",126,0,"HS",0,"White","Male",2001,65000,11.0821425488778
"1759",126,0,"HS",0,"White","Male",2003,65000,11.0821425488778
"1760",126,0,"HS",0,"White","Male",2005,85000,11.3504065354725
"1761",126,0,"HS",0,"White","Male",2007,65000,11.0821425488778
"1762",126,0,"HS",0,"White","Male",2009,45000,10.7144177687525
"1763",126,0,"HS",0,"White","Male",2011,65000,11.0821425488778
"1764",126,0,"HS",0,"White","Male",2013,75000,11.2252433925184
"1800",129,0,"COL",0,"White","Male",2001,72000,11.1844213979982
"1801",129,0,"COL",0,"White","Male",2003,75000,11.2252433925184
"1802",129,0,"COL",0,"White","Male",2005,80000,11.289781913656
"1803",129,0,"COL",0,"White","Male",2007,95000,11.4616321705827
